,no rank,superkingdom,order,family,genus,species,phylum,class,clade,strain,isolate,subphylum
2287,cellular organisms,Archaea,Sulfolobales,Sulfolobaceae,Saccharolobus,Saccharolobus solfataricus,Crenarchaeota,Thermoprotei,TACK group,,,
273075,cellular organisms,Archaea,Thermoplasmatales,Thermoplasmataceae,Thermoplasma,Thermoplasma acidophilum,Euryarchaeota,Thermoplasmata,Diaforarchaea group,Thermoplasma acidophilum DSM 1728,,
339860,cellular organisms,Archaea,Methanobacteriales,Methanobacteriaceae,Methanosphaera,Methanosphaera stadtmanae,Euryarchaeota,Methanobacteria,Methanomada group,Methanosphaera stadtmanae DSM 3091,,
2317,cellular organisms,Archaea,Methanobacteriales,Methanobacteriaceae,Methanosphaera,Methanosphaera stadtmanae,Euryarchaeota,Methanobacteria,Methanomada group,,,
190192,cellular organisms,Archaea,Methanopyrales,Methanopyraceae,Methanopyrus,Methanopyrus kandleri,Euryarchaeota,Methanopyri,,Methanopyrus kandleri AV19,,
644295,cellular organisms,Archaea,Methanosarcinales,Methanosarcinaceae,Methanohalobium,Methanohalobium evestigatum,Euryarchaeota,Methanomicrobia,Stenosarchaea group,Methanohalobium evestigatum Z-7303,,
547559,cellular organisms,Archaea,Natrialbales,Natrialbaceae,Natrialba,Natrialba magadii,Euryarchaeota,Halobacteria,Stenosarchaea group,Natrialba magadii ATCC 43099,,
178306,cellular organisms,Archaea,Thermoproteales,Thermoproteaceae,Pyrobaculum,Pyrobaculum aerophilum,Crenarchaeota,Thermoprotei,TACK group,Pyrobaculum aerophilum str. IM2,,
29284,cellular organisms,Archaea,Haloferacales,Halorubraceae,Halorubrum,Halorubrum trapanicum,Euryarchaeota,Halobacteria,Stenosarchaea group,,,
694430,cellular organisms,Archaea,Natrialbales,Natrialbaceae,Natronococcus,Natronococcus occultus,Euryarchaeota,Halobacteria,Stenosarchaea group,Natronococcus occultus SP4,,
259564,cellular organisms,Archaea,Methanosarcinales,Methanosarcinaceae,Methanococcoides,Methanococcoides burtonii,Euryarchaeota,Methanomicrobia,Stenosarchaea group,Methanococcoides burtonii DSM 6242,,
