,no rank,superkingdom,order,family,genus,species,phylum,class,clade,strain,isolate,subphylum
246969,unclassified Thermococcus,Archaea,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus sp. AM4,Euryarchaeota,Thermococci,,,,
277988,cellular organisms,Archaea,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus thioreducens,Euryarchaeota,Thermococci,,,,
282676,cellular organisms,Archaea,Sulfolobales,Sulfolobaceae,Acidianus,Acidianus manzaensis,Crenarchaeota,Thermoprotei,TACK group,,,
362976,cellular organisms,Archaea,Haloferacales,Haloferacaceae,Haloquadratum,Haloquadratum walsbyi,Euryarchaeota,Halobacteria,Stenosarchaea group,Haloquadratum walsbyi DSM 16790,,
768065,cellular organisms,Archaea,Haloferacales,Haloferacaceae,Haloquadratum,Haloquadratum walsbyi,Euryarchaeota,Halobacteria,Stenosarchaea group,Haloquadratum walsbyi C23,,
294671,cellular organisms,Archaea,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter olleyae,Euryarchaeota,Methanobacteria,Methanomada group,,,
1110509,cellular organisms,Archaea,Methanosarcinales,Methanotrichaceae,Methanothrix,Methanosaeta harundinacea,Euryarchaeota,Methanomicrobia,Stenosarchaea group,Methanosaeta harundinacea 6Ac,,
69014,cellular organisms,Archaea,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus kodakarensis,Euryarchaeota,Thermococci,,Thermococcus kodakarensis KOD1,,
619593,cellular organisms,Archaea,Sulfolobales,Sulfolobaceae,Acidianus,Acidianus sulfidivorans,Crenarchaeota,Thermoprotei,TACK group,Acidianus sulfidivorans JP7,,
337243,cellular organisms,Archaea,Haloferacales,Halorubraceae,Halorubrum,Halorubrum ezzemoulense,Euryarchaeota,Halobacteria,Stenosarchaea group,,,
436308,cellular organisms,Archaea,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilus,Nitrosopumilus maritimus,Thaumarchaeota,,TACK group,Nitrosopumilus maritimus SCM1,,
523850,cellular organisms,Archaea,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus onnurineus,Euryarchaeota,Thermococci,,Thermococcus onnurineus NA1,,
342949,unclassified Pyrococcus,Archaea,Thermococcales,Thermococcaceae,Pyrococcus,Pyrococcus sp. NA2,Euryarchaeota,Thermococci,,,,
348826,cellular organisms,Archaea,Natrialbales,Natrialbaceae,Natronorubrum,Natronorubrum aibiense,Euryarchaeota,Halobacteria,Stenosarchaea group,,,
797299,cellular organisms,Archaea,Natrialbales,Natrialbaceae,Halostagnicola,Halostagnicola larsenii,Euryarchaeota,Halobacteria,Stenosarchaea group,Halostagnicola larsenii XH-48,,
456442,cellular organisms,Archaea,Methanomicrobiales,Methanoregulaceae,Methanoregula,Methanoregula boonei,Euryarchaeota,Methanomicrobia,Stenosarchaea group,Methanoregula boonei 6A8,,
439481,cellular organisms,Archaea,,,Aciduliprofundum,Aciduliprofundum boonei,Euryarchaeota,,Diaforarchaea group,Aciduliprofundum boonei T469,,
797302,cellular organisms,Archaea,Natrialbales,Natrialbaceae,Halovivax,Halovivax ruber,Euryarchaeota,Halobacteria,Stenosarchaea group,Halovivax ruber XH-70,,
797210,cellular organisms,Archaea,Natrialbales,Natrialbaceae,Halopiger,Halopiger xanaduensis,Euryarchaeota,Halobacteria,Stenosarchaea group,Halopiger xanaduensis SH-6,,
406552,unclassified Natrinema,Archaea,Natrialbales,Natrialbaceae,Natrinema,Natrinema sp. J7-2,Euryarchaeota,Halobacteria,Stenosarchaea group,,,
795797,cellular organisms,Archaea,Halobacteriales,Halobacteriaceae,Halalkalicoccus,Halalkalicoccus jeotgali,Euryarchaeota,Halobacteria,Stenosarchaea group,Halalkalicoccus jeotgali B3,,
268739,cellular organisms,Archaea,Halobacteriales,Haloarculaceae,Natronomonas,Natronomonas moolapensis,Euryarchaeota,Halobacteria,Stenosarchaea group,Natronomonas moolapensis 8.8.11,,
1434110,cellular organisms,Archaea,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina horonobensis,Euryarchaeota,Methanomicrobia,Stenosarchaea group,Methanosarcina horonobensis HB-1 = JCM 15518,,
1033806,cellular organisms,Archaea,Halobacteriales,Haloarculaceae,Halorhabdus,Halorhabdus tiamatea,Euryarchaeota,Halobacteria,Stenosarchaea group,Halorhabdus tiamatea SARL4B,,
521011,cellular organisms,Archaea,Methanomicrobiales,Methanoregulaceae,Methanosphaerula,Methanosphaerula palustris,Euryarchaeota,Methanomicrobia,Stenosarchaea group,Methanosphaerula palustris E1-9c,,
1237085,cellular organisms,Archaea,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Candidatus Nitrososphaera gargensis,Thaumarchaeota,Nitrososphaeria,TACK group,,Candidatus Nitrososphaera gargensis Ga9.2,
374847,cellular organisms,Archaea,,,Candidatus Korarchaeum,Candidatus Korarchaeum cryptofilum,Candidatus Korarchaeota,,TACK group,Candidatus Korarchaeum cryptofilum OPF8,,
536044,cellular organisms,Archaea,Methanosarcinales,Methanosarcinaceae,Methanolobus,Methanolobus zinderi,Euryarchaeota,Methanomicrobia,Stenosarchaea group,,,
933801,cellular organisms,Archaea,Sulfolobales,Sulfolobaceae,Acidianus,Acidianus hospitalis,Crenarchaeota,Thermoprotei,TACK group,Acidianus hospitalis W1,,
565033,cellular organisms,Archaea,Archaeoglobales,Archaeoglobaceae,Geoglobus,Geoglobus acetivorans,Euryarchaeota,Archaeoglobi,,,,
304371,cellular organisms,Archaea,Methanocellales,Methanocellaceae,Methanocella,Methanocella paludicola,Euryarchaeota,Methanomicrobia,Stenosarchaea group,Methanocella paludicola SANAE,,
582419,cellular organisms,Archaea,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus paralvinellae,Euryarchaeota,Thermococci,,,,
588898,cellular organisms,Archaea,Natrialbales,Natrialbaceae,Haloterrigena,Haloterrigena daqingensis,Euryarchaeota,Halobacteria,Stenosarchaea group,,,
634157,unclassified Halorubrum,Archaea,Haloferacales,Halorubraceae,Halorubrum,Halorubrum sp. PV6,Euryarchaeota,Halobacteria,Stenosarchaea group,,,
644281,unclassified Methanocaldococcus,Archaea,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,Methanocaldococcus sp. FS406-22,Euryarchaeota,Methanococci,Methanomada group,,,
660522,cellular organisms,Archaea,Haloferacales,Haloferacaceae,Haloplanus,Haloplanus aerogenes,Euryarchaeota,Halobacteria,Stenosarchaea group,,,
673860,unclassified Aciduliprofundum,Archaea,,,Aciduliprofundum,Aciduliprofundum sp. MAR08-339,Euryarchaeota,,Diaforarchaea group,,,
1163730,cellular organisms,Archaea,Fervidicoccales,Fervidicoccaceae,Fervidicoccus,Fervidicoccus fontis,Crenarchaeota,Thermoprotei,TACK group,Fervidicoccus fontis Kam940,,
699433,cellular organisms,Archaea,Haloferacales,Haloferacaceae,Halobellus,Halobellus limi,Euryarchaeota,Halobacteria,Stenosarchaea group,,,
745377,cellular organisms,Archaea,Natrialbales,Natrialbaceae,Natronolimnobius,Natronolimnobius aegyptiacus,Euryarchaeota,Halobacteria,Stenosarchaea group,,,
751944,unclassified Halobacterium,Archaea,Halobacteriales,Halobacteriaceae,Halobacterium,Halobacterium sp. DL1,Euryarchaeota,Halobacteria,Stenosarchaea group,,,
755307,cellular organisms,Archaea,Haloferacales,Halorubraceae,Salinigranum,Salinigranum rubrum,Euryarchaeota,Halobacteria,Stenosarchaea group,,,
756883,unclassified Haloferacales,Archaea,Haloferacales,,,halophilic archaeon DL31,Euryarchaeota,Halobacteria,Stenosarchaea group,,,
866790,unclassified Methanothermobacter,Archaea,Methanobacteriales,Methanobacteriaceae,Methanothermobacter,Methanothermobacter sp. CaT2,Euryarchaeota,Methanobacteria,Methanomada group,,,
868131,cellular organisms,Archaea,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Methanobacterium paludis,Euryarchaeota,Methanobacteria,Methanomada group,,,
869886,cellular organisms,Archaea,Halobacteriales,Haloarculaceae,Halosimplex,Halosimplex pelagicum,Euryarchaeota,Halobacteria,Stenosarchaea group,,,
869889,cellular organisms,Archaea,Halobacteriales,Haloarculaceae,Halosimplex,Halosimplex rubrum,Euryarchaeota,Halobacteria,Stenosarchaea group,,,
877455,cellular organisms,Archaea,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Methanobacterium lacus,Euryarchaeota,Methanobacteria,Methanomada group,,,
593750,cellular organisms,Archaea,Methanomicrobiales,Methanoregulaceae,Methanoregula,Methanoregula formicica,Euryarchaeota,Methanomicrobia,Stenosarchaea group,Methanoregula formicica SMSP,,
1343739,cellular organisms,Archaea,Thermococcales,Thermococcaceae,Palaeococcus,Palaeococcus pacificus,Euryarchaeota,Thermococci,,Palaeococcus pacificus DY20341,,
985053,cellular organisms,Archaea,Thermoproteales,Thermoproteaceae,Vulcanisaeta,Vulcanisaeta moutnovskia,Crenarchaeota,Thermoprotei,TACK group,Vulcanisaeta moutnovskia 768-28,,
1006006,cellular organisms,Archaea,Sulfolobales,Sulfolobaceae,Metallosphaera,Metallosphaera cuprina,Crenarchaeota,Thermoprotei,TACK group,Metallosphaera cuprina Ar-4,,
529709,cellular organisms,Archaea,Thermococcales,Thermococcaceae,Pyrococcus,Pyrococcus yayanosii,Euryarchaeota,Thermococci,,Pyrococcus yayanosii CH1,,
926571,cellular organisms,Archaea,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Nitrososphaera viennensis,Thaumarchaeota,Nitrososphaeria,TACK group,Nitrososphaera viennensis EN76,,
1042877,unclassified Thermococcus,Archaea,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus sp. 4557,Euryarchaeota,Thermococci,,,,
1048396,cellular organisms,Archaea,Haloferacales,Halorubraceae,Halopenitus,Halopenitus persicus,Euryarchaeota,Halobacteria,Stenosarchaea group,,,
1054217,unclassified Thermoplasmatales,Archaea,Thermoplasmatales,,,Thermoplasmatales archaeon BRNA1,Euryarchaeota,Thermoplasmata,Diaforarchaea group,,,
1071085,cellular organisms,Archaea,Halobacteriales,,,haloarchaeon 3A1-DGR,Euryarchaeota,Halobacteria,Stenosarchaea group,,,
1078905,Thaumarchaeota incertae sedis,Archaea,,,Candidatus Nitrosotalea,Candidatus Nitrosotalea devanaterra,Thaumarchaeota,,TACK group,,,
1104324,cellular organisms,Archaea,Thermoproteales,Thermoproteaceae,Pyrobaculum,Pyrobaculum ferrireducens,Crenarchaeota,Thermoprotei,TACK group,,,
1041930,cellular organisms,Archaea,Methanocellales,Methanocellaceae,Methanocella,Methanocella conradii,Euryarchaeota,Methanomicrobia,Stenosarchaea group,Methanocella conradii HZ254,,
351160,cellular organisms,Archaea,Methanocellales,Methanocellaceae,Methanocella,Methanocella arvoryzae,Euryarchaeota,Methanomicrobia,Stenosarchaea group,Methanocella arvoryzae MRE50,,
1183377,unclassified Pyrococcus,Archaea,Thermococcales,Thermococcaceae,Pyrococcus,Pyrococcus sp. ST04,Euryarchaeota,Thermococci,,,,
1184251,cellular organisms,Archaea,Desulfurococcales,Desulfurococcaceae,Thermogladius,Thermogladius calderae,Crenarchaeota,Thermoprotei,TACK group,Thermogladius calderae 1633,,
1229909,cellular organisms,Archaea,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilus,Candidatus Nitrosopumilus sediminis,Thaumarchaeota,,TACK group,,,
1273541,cellular organisms,Archaea,Desulfurococcales,Pyrodictiaceae,Pyrodictium,Pyrodictium delaneyi,Crenarchaeota,Thermoprotei,TACK group,,,
1236689,cellular organisms,Archaea,Methanomassiliicoccales,Candidatus Methanomethylophilaceae,Candidatus Methanomethylophilus,Candidatus Methanomethylophilus alvus,Euryarchaeota,Thermoplasmata,Diaforarchaea group,Candidatus Methanomethylophilus alvus Mx1201,,
1291540,cellular organisms,Archaea,Methanomassiliicoccales,Candidatus Methanomethylophilaceae,Candidatus Methanomethylophilus,Candidatus Methanomethylophilus alvus,Euryarchaeota,Thermoplasmata,Diaforarchaea group,,,
1294262,cellular organisms,Archaea,Sulfolobales,Sulfolobaceae,Sulfuracidifex,Sulfuracidifex tepidarius,Crenarchaeota,Thermoprotei,TACK group,,,
1301915,cellular organisms,Archaea,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,Methanocaldococcus bathoardescens,Euryarchaeota,Methanococci,Methanomada group,,,
387631,cellular organisms,Archaea,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,Archaeoglobus sulfaticallidus,Euryarchaeota,Archaeoglobi,,Archaeoglobus sulfaticallidus PM70-1,,
1333523,unclassified Salinarchaeum,Archaea,Natrialbales,Natrialbaceae,Salinarchaeum,Salinarchaeum sp. Harcht-Bsk1,Euryarchaeota,Halobacteria,Stenosarchaea group,,,
1365176,cellular organisms,Archaea,Thermoproteales,Thermofilaceae,Thermofilum,Thermofilum adornatum,Crenarchaeota,Thermoprotei,TACK group,,,
697581,cellular organisms,Archaea,Thermoproteales,Thermofilaceae,Thermofilum,Thermofilum adornatum,Crenarchaeota,Thermoprotei,TACK group,Thermofilum adornatus 1505,,
1379702,unclassified Methanobacterium,Archaea,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Methanobacterium sp. MB1,Euryarchaeota,Methanobacteria,Methanomada group,,,
1380432,unclassified Halorhabdus,Archaea,Halobacteriales,Haloarculaceae,Halorhabdus,Halorhabdus sp. CBA1104,Euryarchaeota,Halobacteria,Stenosarchaea group,,,
1295009,cellular organisms,Archaea,Methanomassiliicoccales,Methanomassiliicoccaceae,Methanomassiliicoccus,Candidatus Methanomassiliicoccus intestinalis,Euryarchaeota,Thermoplasmata,Diaforarchaea group,Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,,
1406512,cellular organisms,Archaea,Methanomassiliicoccales,Methanomassiliicoccaceae,Methanomassiliicoccus,Candidatus Methanomassiliicoccus intestinalis,Euryarchaeota,Thermoplasmata,Diaforarchaea group,,,
1407499,cellular organisms,Archaea,Halobacteriales,Halobacteriaceae,Halobacterium,Halobacterium hubeiense,Euryarchaeota,Halobacteria,Stenosarchaea group,,,
1410606,Thaumarchaeota incertae sedis,Archaea,,,Candidatus Nitrosopelagicus,Candidatus Nitrosopelagicus brevis,Thaumarchaeota,,TACK group,,,
1434099,unclassified Methanosarcina,Archaea,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina sp. Kolksee,Euryarchaeota,Methanomicrobia,Stenosarchaea group,,,
1434100,unclassified Methanosarcina,Archaea,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina sp. MTP4,Euryarchaeota,Methanomicrobia,Stenosarchaea group,,,
1434102,unclassified Methanosarcina,Archaea,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina sp. WH1,Euryarchaeota,Methanomicrobia,Stenosarchaea group,,,
1434103,unclassified Methanosarcina,Archaea,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina sp. WWM596,Euryarchaeota,Methanomicrobia,Stenosarchaea group,,,
1457250,cellular organisms,Archaea,Halobacteriales,Haloarculaceae,Halapricum,Halapricum salinum,Euryarchaeota,Halobacteria,Stenosarchaea group,,,
1459636,cellular organisms,Archaea,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Candidatus Nitrososphaera evergladensis,Thaumarchaeota,Nitrososphaeria,TACK group,,Candidatus Nitrososphaera evergladensis SR1,
1470066,cellular organisms,Archaea,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilus,Nitrosopumilus cobalaminigenes,Thaumarchaeota,,TACK group,,,
1470067,cellular organisms,Archaea,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilus,Nitrosopumilus ureiphilus,Thaumarchaeota,,TACK group,,,
1495144,unclassified Thermoplasmata,Archaea,,,,methanogenic archaeon ISO4-H5,Euryarchaeota,Thermoplasmata,Diaforarchaea group,,,
1505907,cellular organisms,Archaea,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus eurythermalis,Euryarchaeota,Thermococci,,,,
1229908,cellular organisms,Archaea,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilus,Candidatus Nitrosopumilus koreensis,Thaumarchaeota,,TACK group,Candidatus Nitrosopumilus koreensis AR1,,
1532350,cellular organisms,Archaea,Sulfolobales,Sulfolobaceae,Metallosphaera,Metallosphaera tengchongensis,Crenarchaeota,Thermoprotei,TACK group,,,
1535962,unclassified Methanomassiliicoccaceae,Archaea,Methanomassiliicoccales,Methanomassiliicoccaceae,,Methanomassiliicoccaceae archaeon DOK,Euryarchaeota,Thermoplasmata,Diaforarchaea group,,,
1547898,unclassified Haloplanus,Archaea,Haloferacales,Haloferacaceae,Haloplanus,Haloplanus sp. CBA1112,Euryarchaeota,Halobacteria,Stenosarchaea group,,,
1547899,unclassified Haloplanus,Archaea,Haloferacales,Haloferacaceae,Haloplanus,Haloplanus sp. CBA1113,Euryarchaeota,Halobacteria,Stenosarchaea group,,,
1550241,cellular organisms,Archaea,Thermoproteales,Thermofilaceae,Thermofilum,Thermofilum uzonense,Crenarchaeota,Thermoprotei,TACK group,,,
1577685,unclassified Acidilobus,Archaea,Acidilobales,Acidilobaceae,Acidilobus,Acidilobus sp. 7A,Crenarchaeota,Thermoprotei,TACK group,,,
1577791,cellular organisms,Archaea,Methanomassiliicoccales,Methanomassiliicoccaceae,Candidatus Methanoplasma,Candidatus Methanoplasma termitum,Euryarchaeota,Thermoplasmata,Diaforarchaea group,,,
1580092,cellular organisms,Archaea,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilus,Nitrosopumilus adriaticus,Thaumarchaeota,,TACK group,,,
1582439,cellular organisms,Archaea,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilus,Nitrosopumilus piranensis,Thaumarchaeota,,TACK group,,,
1592728,unclassified Haloarcula,Archaea,Halobacteriales,Haloarculaceae,Haloarcula,Haloarcula sp. CBA1115,Euryarchaeota,Halobacteria,Stenosarchaea group,,,
1603555,Thaumarchaeota incertae sedis,Archaea,,,Candidatus Nitrosotenuis,Candidatus Nitrosotenuis cloacae,Thaumarchaeota,,TACK group,,,
1604004,cellular organisms,Archaea,Halobacteriales,Halobacteriaceae,Halanaeroarchaeum,Halanaeroarchaeum sulfurireducens,Euryarchaeota,Halobacteria,Stenosarchaea group,,,
1609559,cellular organisms,Archaea,Thermococcales,Thermococcaceae,Pyrococcus,Pyrococcus kukulkanii,Euryarchaeota,Thermococci,,,,
1609968,unclassified Methanobrevibacter,Archaea,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter sp. YE315,Euryarchaeota,Methanobacteria,Methanomada group,,,
1670455,cellular organisms,Archaea,Sulfolobales,Sulfolobaceae,Sulfodiicoccus,Sulfodiicoccus acidiphilus,Crenarchaeota,Thermoprotei,TACK group,,,
1673428,cellular organisms,Archaea,Thermoplasmatales,Cuniculiplasmataceae,Cuniculiplasma,Cuniculiplasma divulgatum,Euryarchaeota,Thermoplasmata,Diaforarchaea group,,,
1674923,unclassified Thermococcus,Archaea,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus sp. 2319x1,Euryarchaeota,Thermococci,,,,
1679096,unclassified Haloarculaceae,Archaea,Halobacteriales,Haloarculaceae,,Haloarculaceae archaeon HArcel1,Euryarchaeota,Halobacteria,Stenosarchaea group,,,
1699371,unclassified Haloterrigena,Archaea,Natrialbales,Natrialbaceae,Haloterrigena,Haloterrigena sp. YPL8,Euryarchaeota,Halobacteria,Stenosarchaea group,,,
1710539,unclassified Natrinema,Archaea,Natrialbales,Natrialbaceae,Natrinema,Natrinema sp. YPL30,Euryarchaeota,Halobacteria,Stenosarchaea group,,,
1710540,unclassified Natronomonas,Archaea,Halobacteriales,Haloarculaceae,Natronomonas,Natronomonas sp. YPL13,Euryarchaeota,Halobacteria,Stenosarchaea group,,,
1710541,Halobacteriales incertae sedis,Archaea,Halobacteriales,,Salinibaculum,Salinibaculum litoreum,Euryarchaeota,Halobacteria,Stenosarchaea group,,,
1712654,cellular organisms,Archaea,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus piezophilus,Euryarchaeota,Thermococci,,,,
1715806,cellular organisms,Archaea,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina flavescens,Euryarchaeota,Methanomicrobia,Stenosarchaea group,,,
1789762,unclassified Methanosphaera,Archaea,Methanobacteriales,Methanobacteriaceae,Methanosphaera,Methanosphaera sp. BMS,Euryarchaeota,Methanobacteria,Methanomada group,,,
1798806,cellular organisms,Archaea,Nitrososphaerales,Nitrososphaeraceae,Candidatus Nitrosocosmicus,Candidatus Nitrosocosmicus franklandus,Thaumarchaeota,Nitrososphaeria,TACK group,,,
1816183,cellular organisms,Archaea,Haloferacales,Haloferacaceae,Haloplanus,Haloplanus rallus,Euryarchaeota,Halobacteria,Stenosarchaea group,,,
1826872,cellular organisms,Archaea,Nitrososphaerales,Nitrososphaeraceae,Candidatus Nitrosocosmicus,Candidatus Nitrosocosmicus exaquare,Thaumarchaeota,Nitrososphaeria,TACK group,,,
1846278,Thaumarchaeota incertae sedis,Archaea,,,Candidatus Nitrosotenuis,Candidatus Nitrosotenuis aquarius,Thaumarchaeota,,TACK group,,,
1853682,unclassified Halarchaeum,Archaea,Halobacteriales,Halobacteriaceae,Halarchaeum,Halarchaeum sp. CBA1220,Euryarchaeota,Halobacteria,Stenosarchaea group,,,
1853690,unclassified Halolamina,Archaea,Haloferacales,Halorubraceae,Halolamina,Halolamina sp. CBA1230,Euryarchaeota,Halobacteria,Stenosarchaea group,,,
1853699,unclassified Halorubrum,Archaea,Haloferacales,Halorubraceae,Halorubrum,Halorubrum sp. CBA1229,Euryarchaeota,Halobacteria,Stenosarchaea group,,,
1873524,cellular organisms,Archaea,Halobacteriales,Halobacteriaceae,Halodesulfurarchaeum,Halodesulfurarchaeum formicicum,Euryarchaeota,Halobacteria,Stenosarchaea group,,,
1874277,cellular organisms,Archaea,,,Conexivisphaera,Conexivisphaera calidus,Candidatus Geothermarchaeota,,TACK group,,,
1891280,unclassified Sulfolobus,Archaea,Sulfolobales,Sulfolobaceae,Sulfolobus,Sulfolobus sp. A20,Crenarchaeota,Thermoprotei,TACK group,,,
1898749,cellular organisms,Archaea,Nitrosopumilales,Nitrosopumilaceae,Candidatus Nitrosomarinus,Candidatus Nitrosomarinus catalina,Thaumarchaeota,,TACK group,,,
1911685,unclassified Methanobacterium,Archaea,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Methanobacterium sp. MZ-A1,Euryarchaeota,Methanobacteria,Methanomada group,,,
1920749,cellular organisms,Archaea,,,Candidatus Mancarchaeum,Candidatus Mancarchaeum acidiphilum,Candidatus Micrarchaeota,,DPANN group,,,
1932004,cellular organisms,Archaea,Halobacteriales,Haloarculaceae,Haloarcula,Haloarcula taiwanensis,Euryarchaeota,Halobacteria,Stenosarchaea group,,,
1932360,unclassified Halorientalis,Archaea,Halobacteriales,Haloarculaceae,Halorientalis,Halorientalis sp. IM1011,Euryarchaeota,Halobacteria,Stenosarchaea group,,,
1959104,cellular organisms,Archaea,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilus,Nitrosopumilus oxyclinae,Thaumarchaeota,,TACK group,,,
2008440,unclassified Thermococcus,Archaea,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus sp. 5-4,Euryarchaeota,Thermococci,,,,
2016361,unclassified Thermococcus,Archaea,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus sp. EXT12c,Euryarchaeota,Thermococci,,,,
2044521,cellular organisms,Archaea,Natrialbales,Natrialbaceae,Natronolimnobius,Natronolimnobius sulfurireducens,Euryarchaeota,Halobacteria,Stenosarchaea group,,,
2045011,cellular organisms,Archaea,Candidatus Nitrosocaldales,Candidatus Nitrosocaldaceae,Candidatus Nitrosocaldus,Candidatus Nitrosocaldus islandicus,Thaumarchaeota,Nitrososphaeria,TACK group,,,
2055893,Haloferacales incertae sedis,Archaea,Haloferacales,,Halalkaliarchaeum,Halalkaliarchaeum desulfuricum,Euryarchaeota,Halobacteria,Stenosarchaea group,,,
2058097,cellular organisms,Archaea,Candidatus Nitrosocaldales,Candidatus Nitrosocaldaceae,Candidatus Nitrosocaldus,Candidatus Nitrosocaldus cavascurensis,Thaumarchaeota,Nitrososphaeria,TACK group,,,
2259672,unclassified Candidatus Nitrosotenuis,Archaea,,,Candidatus Nitrosotenuis,Candidatus Nitrosotenuis sp. DW1,Thaumarchaeota,,TACK group,,,
2259673,unclassified Nitrosarchaeum,Archaea,Nitrosopumilales,Nitrosopumilaceae,Nitrosarchaeum,Nitrosarchaeum sp. AC2,Thaumarchaeota,,TACK group,,,
2419781,unclassified Natrialbaceae,Archaea,Natrialbales,Natrialbaceae,,Natrialbaceae archaeon XQ-INN 246,Euryarchaeota,Halobacteria,Stenosarchaea group,,,
2497325,unclassified Halorubrum,Archaea,Haloferacales,Halorubraceae,Halorubrum,Halorubrum sp. BOL3-1,Euryarchaeota,Halobacteria,Stenosarchaea group,,,
2505977,unclassified Halorussus,Archaea,Halobacteriales,Halobacteriaceae,Halorussus,Halorussus sp. RC-68,Euryarchaeota,Halobacteria,Stenosarchaea group,,,
2508726,cellular organisms,Archaea,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilus,Candidatus Nitrosopumilus sp. SW,Thaumarchaeota,,TACK group,,,
2512240,unclassified Sulfolobus,Archaea,Sulfolobales,Sulfolobaceae,Sulfolobus,Sulfolobus sp. S-194,Crenarchaeota,Thermoprotei,TACK group,,,
2565781,unclassified DPANN group,Archaea,,,,DPANN group archaeon LC1Nh,,,DPANN group,,,
2572921,unclassified Haloprofundus,Archaea,Haloferacales,Haloferacaceae,Haloprofundus,Haloprofundus sp. MHR1,Euryarchaeota,Halobacteria,Stenosarchaea group,,,
2583824,cellular organisms,Archaea,Halobacteriales,Halobacteriaceae,Halostella,Halostella pelagica,Euryarchaeota,Halobacteria,Stenosarchaea group,,,
2586643,unclassified Thermococcus,Archaea,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus sp. IOH1,Euryarchaeota,Thermococci,,,,
2594042,cellular organisms,Archaea,,,Candidatus Prometheoarchaeum,Candidatus Prometheoarchaeum syntrophicum,Candidatus Lokiarchaeota,,Asgard group,,,
2594798,unclassified Nanohaloarchaea,Archaea,,,,Nanohaloarchaea archaeon,Euryarchaeota,Nanohaloarchaea,Stenosarchaea group,,,Candidatus Nanohaloarchaeota
2598455,unclassified Thermococcus,Archaea,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus sp. SY113,Euryarchaeota,Thermococci,,,,
2599399,unclassified Salarchaeum,Archaea,Halobacteriales,Halobacteriaceae,Salarchaeum,Salarchaeum sp. JOR-1,Euryarchaeota,Halobacteria,Stenosarchaea group,,,
2603820,unclassified Methanothermobacter,Archaea,Methanobacteriales,Methanobacteriaceae,Methanothermobacter,Methanothermobacter sp. KEPCO-1,Euryarchaeota,Methanobacteria,Methanomada group,,,
2606912,unclassified Methanothermobacter,Archaea,Methanobacteriales,Methanobacteriaceae,Methanothermobacter,Methanothermobacter sp. THM-2,Euryarchaeota,Methanobacteria,Methanomada group,,,
2607662,unclassified Methanofervidicoccus,Archaea,Methanococcales,,Methanofervidicoccus,Methanofervidicoccus sp. A16,Euryarchaeota,Methanococci,Methanomada group,,,
2610902,unclassified Halomicrobium,Archaea,Halobacteriales,Haloarculaceae,Halomicrobium,Halomicrobium sp. LC1Hm,Euryarchaeota,Halobacteria,Stenosarchaea group,,,
2650975,unclassified Halorussus,Archaea,Halobacteriales,Halobacteriaceae,Halorussus,Halorussus sp. ZS-3,Euryarchaeota,Halobacteria,Stenosarchaea group,,,
2663019,unclassified Sulfolobus,Archaea,Sulfolobales,Sulfolobaceae,Sulfolobus,Sulfolobus sp. E5-1-F,Crenarchaeota,Thermoprotei,TACK group,,,
