"tax_id","parent_id","rank","tax_name","root","root_","superkingdom","superkingdom_","superkingdom__","phylum","phylum_","phylum__","class","class_","order","order_","order__","family","family_","genus","species","species_"
"1343739","971279","species_","Palaeococcus pacificus DY20341","1","131567","2157","","","28890","","","183968","","2258","","","2259","","83867","971279","1343739"
"183980","28890","class","Archaeoglobi","1","131567","2157","","","28890","","","183980","","","","","","","","",""
"2231","183980","order","Archaeoglobales","1","131567","2157","","","28890","","","183980","","2231","","","","","","",""
"2232","2231","family","Archaeoglobaceae","1","131567","2157","","","28890","","","183980","","2231","","","2232","","","",""
"190818","2232","genus","Geoglobus","1","131567","2157","","","28890","","","183980","","2231","","","2232","","190818","",""
"113653","190818","species","Geoglobus ahangari","1","131567","2157","","","28890","","","183980","","2231","","","2232","","190818","113653",""
"565033","190818","species","Geoglobus acetivorans","1","131567","2157","","","28890","","","183980","","2231","","","2232","","190818","565033",""
"2233","2232","genus","Archaeoglobus","1","131567","2157","","","28890","","","183980","","2231","","","2232","","2233","",""
"1316941","2233","species","Archaeoglobus sulfaticallidus","1","131567","2157","","","28890","","","183980","","2231","","","2232","","2233","1316941",""
"387631","1316941","species_","Archaeoglobus sulfaticallidus PM70-1","1","131567","2157","","","28890","","","183980","","2231","","","2232","","2233","1316941","387631"
"2234","2233","species","Archaeoglobus fulgidus","1","131567","2157","","","28890","","","183980","","2231","","","2232","","2233","2234",""
"1344584","2234","species_","Archaeoglobus fulgidus DSM 8774","1","131567","2157","","","28890","","","183980","","2231","","","2232","","2233","2234","1344584"
"224325","2234","species_","Archaeoglobus fulgidus DSM 4304","1","131567","2157","","","28890","","","183980","","2231","","","2232","","2233","2234","224325"
"58290","2233","species","Archaeoglobus veneficus","1","131567","2157","","","28890","","","183980","","2231","","","2232","","2233","58290",""
"693661","58290","species_","Archaeoglobus veneficus SNP6","1","131567","2157","","","28890","","","183980","","2231","","","2232","","2233","58290","693661"
"84156","2233","species","Archaeoglobus profundus","1","131567","2157","","","28890","","","183980","","2231","","","2232","","2233","84156",""
"572546","84156","species_","Archaeoglobus profundus DSM 5631","1","131567","2157","","","28890","","","183980","","2231","","","2232","","2233","84156","572546"
"54260","2232","genus","Ferroglobus","1","131567","2157","","","28890","","","183980","","2231","","","2232","","54260","",""
"54261","54260","species","Ferroglobus placidus","1","131567","2157","","","28890","","","183980","","2231","","","2232","","54260","54261",""
"589924","54261","species_","Ferroglobus placidus DSM 10642","1","131567","2157","","","28890","","","183980","","2231","","","2232","","54260","54261","589924"
"2283794","28890","phylum_","Methanomada group","1","131567","2157","","","28890","2283794","","","","","","","","","","",""
"183925","2283794","class","Methanobacteria","1","131567","2157","","","28890","2283794","","183925","","","","","","","","",""
"2158","183925","order","Methanobacteriales","1","131567","2157","","","28890","2283794","","183925","","2158","","","","","","",""
"2159","2158","family","Methanobacteriaceae","1","131567","2157","","","28890","2283794","","183925","","2158","","","2159","","","",""
"145260","2159","genus","Methanothermobacter","1","131567","2157","","","28890","2283794","","183925","","2158","","","2159","","145260","",""
"145261","145260","species","Methanothermobacter wolfeii","1","131567","2157","","","28890","2283794","","183925","","2158","","","2159","","145260","145261",""
"145262","145260","species","Methanothermobacter thermautotrophicus","1","131567","2157","","","28890","2283794","","183925","","2158","","","2159","","145260","145262",""
"187420","145262","species_","Methanothermobacter thermautotrophicus str. Delta H","1","131567","2157","","","28890","2283794","","183925","","2158","","","2159","","145260","145262","187420"
"145263","145260","species","Methanothermobacter marburgensis","1","131567","2157","","","28890","2283794","","183925","","2158","","","2159","","145260","145263",""
"79929","145263","species_","Methanothermobacter marburgensis str. Marburg","1","131567","2157","","","28890","2283794","","183925","","2158","","","2159","","145260","145263","79929"
"866790","145260","species","Methanothermobacter sp. CaT2","1","131567","2157","","","28890","2283794","","183925","","2158","","","2159","","145260","866790",""
"2160","2159","genus","Methanobacterium","1","131567","2157","","","28890","2283794","","183925","","2158","","","2159","","2160","",""
"118062","2160","species","Methanobacterium congolense","1","131567","2157","","","28890","2283794","","183925","","2158","","","2159","","2160","118062",""
"1379702","2160","species","Methanobacterium sp. MB1","1","131567","2157","","","28890","2283794","","183925","","2158","","","2159","","2160","1379702",""
"2162","2160","species","Methanobacterium formicicum","1","131567","2157","","","28890","2283794","","183925","","2158","","","2159","","2160","2162",""
"59277","2160","species","Methanobacterium subterraneum","1","131567","2157","","","28890","2283794","","183925","","2158","","","2159","","2160","59277",""
"868131","2160","species","Methanobacterium paludis","1","131567","2157","","","28890","2283794","","183925","","2158","","","2159","","2160","868131",""
"877455","2160","species","Methanobacterium lacus","1","131567","2157","","","28890","2283794","","183925","","2158","","","2159","","2160","877455",""
"2172","2159","genus","Methanobrevibacter","1","131567","2157","","","28890","2283794","","183925","","2158","","","2159","","2172","",""
"1609968","2172","species","Methanobrevibacter sp. YE315","1","131567","2157","","","28890","2283794","","183925","","2158","","","2159","","2172","1609968",""
"2173","2172","species","Methanobrevibacter smithii","1","131567","2157","","","28890","2283794","","183925","","2158","","","2159","","2172","2173",""
"420247","2173","species_","Methanobrevibacter smithii ATCC 35061","1","131567","2157","","","28890","2283794","","183925","","2158","","","2159","","2172","2173","420247"
"224719","2172","species","Methanobrevibacter sp. AbM4","1","131567","2157","","","28890","2283794","","183925","","2158","","","2159","","2172","224719",""
