"seqname","accession","tax_id","species_name","is_type"
"GCF_000223905.1_Haloarcula_hispanica_ATCC_33960_strain_CGMCC_1.2049","","634497","",""
"GCF_001592435.1_Thermococcus_peptonophilus_strain_OG-1","","53952","",""
"GCF_002214465.1_Thermococcus_barossii_strain_SHCK-94","","54077","",""
"GCF_000147875.1_Methanolacinia_petrolearia_DSM_11571","","679926","",""
"GCF_000015145.1_Hyperthermus_butylicus_DSM_5456_strain_DSM_5456","","415426","",""
"GCF_000223395.1_Pyrolobus_fumarii_1A_strain_1A","","694429","",""
"GCF_000092185.1_Thermosphaera_aggregans_DSM_11486_strain_DSM_11486","","633148","",""
"GCF_001481685.1_Ignicoccus_islandicus_DSM_13165_strain_DSM_13165","","940295","",""
"GCF_000025505.1_Ferroglobus_placidus_DSM_10642_strain_DSM_10642","","589924","",""
"GCF_002214605.1_Thermococcus_chitonophagus_strain_GC74","","54262","",""
"GCF_000151105.2_Thermococcus_barophilus_MP_strain_MP","","391623","",""
"GCF_000011125.1_Aeropyrum_pernix_K1_strain_K1","","272557","",""
"GCF_000023965.1_Halomicrobium_mukohataei_DSM_12286_strain_DSM_12286","","485914","",""
"GCF_000194625.1_Archaeoglobus_veneficus_SNP6_strain_SNP6","","693661","",""
"GCF_002813655.1_Methanobacterium_subterraneum_strain_MO-MB1","","59277","",""
"GCF_000172995.2_Halogeometricum_borinquense_DSM_11551_strain_PR_3","","469382","",""
"GCF_004799645.1_Natronorubrum_bangense_strain_JCM_10635","","61858","",""
"GCF_000025325.1_Haloterrigena_turkmenica_DSM_5511_strain_DSM_5511","","543526","",""
"GCF_000092305.1_Methanocaldococcus_infernus_ME_strain_ME","","573063","",""
"GCF_000230735.2_Natrinema_pellirubrum_DSM_15624_strain_DSM_15624","","797303","",""
"GCF_005890195.1_Natrinema_pallidum_strain_BOL6-1","","69527","",""
"GCF_000019805.1_Pyrobaculum_neutrophilum_V24Sta_strain_V24Sta","","444157","",""
"GCF_002214385.1_Thermococcus_gorgonarius_strain_W-12","","71997","",""
"GCF_002214485.1_Thermococcus_pacificus_strain_P-4","","71998","",""
"GCF_002214505.1_Thermococcus_siculi_strain_RG-20","","72803","",""
"GCF_000024625.1_Methanocaldococcus_vulcanius_M7_strain_M7","","579137","",""
"GCF_002078355.1_Ferroplasma_acidiphilum_strain_Y","","74969","",""
"GCF_000018305.1_Caldivirga_maquilingensis_IC-167_strain_IC-167","","397948","",""
"GCF_003201675.1_Metallosphaera_hakonensis_JCM_8857___DSM_7519_strain_HO1-1","","1293036","",""
"GCF_000008265.1_Picrophilus_torridus_DSM_9790_strain_DSM_9790","","263820","",""
"GCF_000023985.1_Methanocaldococcus_fervens_AG86_strain_AG86","","573064","",""
"GCF_000024185.1_Methanobrevibacter_ruminantium_M1_strain_M1","","634498","",""
