,parent_id,rank,tax_name,root,root_,superkingdom,superkingdom_,superkingdom__,phylum,phylum_,phylum__,class,class_,order,order_,order__,family,family_,genus,species,species_
107,Thermogladius calderae,species_,Thermogladius calderae 1633,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Desulfurococcales,,,Desulfurococcaceae,,Thermogladius,Thermogladius calderae,Thermogladius calderae 1633
108,Thermosphaera aggregans,species_,Thermosphaera aggregans DSM 11486,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Desulfurococcales,,,Desulfurococcaceae,,Thermosphaera,Thermosphaera aggregans,Thermosphaera aggregans DSM 11486
109,Desulfurococcus amylolyticus,species_,Desulfurococcus amylolyticus 1221n,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Desulfurococcales,,,Desulfurococcaceae,,Desulfurococcus,Desulfurococcus amylolyticus,Desulfurococcus amylolyticus 1221n
110,Desulfurococcus amylolyticus,species_,Desulfurococcus amylolyticus DSM 16532,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Desulfurococcales,,,Desulfurococcaceae,,Desulfurococcus,Desulfurococcus amylolyticus,Desulfurococcus amylolyticus DSM 16532
112,Desulfurococcus mucosus,species_,Desulfurococcus mucosus DSM 2162,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Desulfurococcales,,,Desulfurococcaceae,,Desulfurococcus,Desulfurococcus mucosus,Desulfurococcus mucosus DSM 2162
118,Pyrodictium,species,Pyrodictium delaneyi,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Desulfurococcales,,,Pyrodictiaceae,,Pyrodictium,Pyrodictium delaneyi,
119,Hyperthermus butylicus,species_,Hyperthermus butylicus DSM 5456,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Desulfurococcales,,,Pyrodictiaceae,,Hyperthermus,Hyperthermus butylicus,Hyperthermus butylicus DSM 5456
121,Pyrolobus fumarii,species_,Pyrolobus fumarii 1A,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Desulfurococcales,,,Pyrodictiaceae,,Pyrolobus,Pyrolobus fumarii,Pyrolobus fumarii 1A
123,Caldisphaera lagunensis,species_,Caldisphaera lagunensis DSM 15908,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Acidilobales,,,Caldisphaeraceae,,Caldisphaera,Caldisphaera lagunensis,Caldisphaera lagunensis DSM 15908
124,Acidilobus,species,Acidilobus sp. 7A,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Acidilobales,,,Acidilobaceae,,Acidilobus,Acidilobus sp. 7A,
125,Acidilobus saccharovorans,species_,Acidilobus saccharovorans 345-15,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Acidilobales,,,Acidilobaceae,,Acidilobus,Acidilobus saccharovorans,Acidilobus saccharovorans 345-15
129,Sulfolobus acidocaldarius,species_,Sulfolobus acidocaldarius DSM 639,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Sulfolobales,,,Sulfolobaceae,,Sulfolobus,Sulfolobus acidocaldarius,Sulfolobus acidocaldarius DSM 639
130,Sulfurisphaera tokodaii,species_,Sulfurisphaera tokodaii str. 7,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Sulfolobales,,,Sulfolobaceae,,Sulfurisphaera,Sulfurisphaera tokodaii,Sulfurisphaera tokodaii str. 7
132,Sulfolobus,species,Sulfolobus sp. A20,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Sulfolobales,,,Sulfolobaceae,,Sulfolobus,Sulfolobus sp. A20,
133,Sulfolobus islandicus,species_,Sulfolobus islandicus Y.N.15.51,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Sulfolobales,,,Sulfolobaceae,,Sulfolobus,Sulfolobus islandicus,Sulfolobus islandicus Y.N.15.51
134,Sulfolobus islandicus,species_,Sulfolobus islandicus M.16.27,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Sulfolobales,,,Sulfolobaceae,,Sulfolobus,Sulfolobus islandicus,Sulfolobus islandicus M.16.27
135,Saccharolobus solfataricus,species_,Saccharolobus solfataricus P2,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Sulfolobales,,,Sulfolobaceae,,Saccharolobus,Saccharolobus solfataricus,Saccharolobus solfataricus P2
136,Saccharolobus solfataricus,species_,Saccharolobus solfataricus 98/2,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Sulfolobales,,,Sulfolobaceae,,Saccharolobus,Saccharolobus solfataricus,Saccharolobus solfataricus 98/2
139,Sulfolobus islandicus,species_,Sulfolobus islandicus M.14.25,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Sulfolobales,,,Sulfolobaceae,,Sulfolobus,Sulfolobus islandicus,Sulfolobus islandicus M.14.25
141,Sulfolobus islandicus,species_,Sulfolobus islandicus L.S.2.15,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Sulfolobales,,,Sulfolobaceae,,Sulfolobus,Sulfolobus islandicus,Sulfolobus islandicus L.S.2.15
145,Acidianus,species,Acidianus brierleyi,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Sulfolobales,,,Sulfolobaceae,,Acidianus,Acidianus brierleyi,
146,Metallosphaera sedula,species_,Metallosphaera sedula DSM 5348,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Sulfolobales,,,Sulfolobaceae,,Metallosphaera,Metallosphaera sedula,Metallosphaera sedula DSM 5348
147,Metallosphaera,species,Metallosphaera sedula,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Sulfolobales,,,Sulfolobaceae,,Metallosphaera,Metallosphaera sedula,
149,Metallosphaera hakonensis,species_,Metallosphaera hakonensis JCM 8857 = DSM 7519,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Sulfolobales,,,Sulfolobaceae,,Metallosphaera,Metallosphaera hakonensis,Metallosphaera hakonensis JCM 8857 = DSM 7519
150,Metallosphaera cuprina,species_,Metallosphaera cuprina Ar-4,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Sulfolobales,,,Sulfolobaceae,,Metallosphaera,Metallosphaera cuprina,Metallosphaera cuprina Ar-4
154,Acidianus hospitalis,species_,Acidianus hospitalis W1,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Sulfolobales,,,Sulfolobaceae,,Acidianus,Acidianus hospitalis,Acidianus hospitalis W1
155,Acidianus sulfidivorans,species_,Acidianus sulfidivorans JP7,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Sulfolobales,,,Sulfolobaceae,,Acidianus,Acidianus sulfidivorans,Acidianus sulfidivorans JP7
160,Sulfodiicoccus,species,Sulfodiicoccus acidiphilus,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Sulfolobales,,,Sulfolobaceae,,Sulfodiicoccus,Sulfodiicoccus acidiphilus,
164,Thermofilum,species,Thermofilum adornatus,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Thermoproteales,,,Thermofilaceae,,Thermofilum,Thermofilum adornatus,
165,Thermofilum pendens,species_,Thermofilum pendens Hrk 5,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Thermoproteales,,,Thermofilaceae,,Thermofilum,Thermofilum pendens,Thermofilum pendens Hrk 5
167,Thermofilum,species,Thermofilum uzonense,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Thermoproteales,,,Thermofilaceae,,Thermofilum,Thermofilum uzonense,
169,Caldivirga maquilingensis,species_,Caldivirga maquilingensis IC-167,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Thermoproteales,,,Thermoproteaceae,,Caldivirga,Caldivirga maquilingensis,Caldivirga maquilingensis IC-167
170,Vulcanisaeta distributa,species_,Vulcanisaeta distributa DSM 14429,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Thermoproteales,,,Thermoproteaceae,,Vulcanisaeta,Vulcanisaeta distributa,Vulcanisaeta distributa DSM 14429
171,Vulcanisaeta moutnovskia,species_,Vulcanisaeta moutnovskia 768-28,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Thermoproteales,,,Thermoproteaceae,,Vulcanisaeta,Vulcanisaeta moutnovskia,Vulcanisaeta moutnovskia 768-28
173,Pyrobaculum islandicum,species_,Pyrobaculum islandicum DSM 4184,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Thermoproteales,,,Thermoproteaceae,,Pyrobaculum,Pyrobaculum islandicum,Pyrobaculum islandicum DSM 4184
174,Pyrobaculum aerophilum,species_,Pyrobaculum aerophilum str. IM2,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Thermoproteales,,,Thermoproteaceae,,Pyrobaculum,Pyrobaculum aerophilum,Pyrobaculum aerophilum str. IM2
175,Pyrobaculum arsenaticum,species_,Pyrobaculum arsenaticum DSM 13514,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Thermoproteales,,,Thermoproteaceae,,Pyrobaculum,Pyrobaculum arsenaticum,Pyrobaculum arsenaticum DSM 13514
178,Thermoproteus tenax,species_,Thermoproteus tenax Kra 1,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Thermoproteales,,,Thermoproteaceae,,Thermoproteus,Thermoproteus tenax,Thermoproteus tenax Kra 1
179,Thermoproteus uzoniensis,species_,Thermoproteus uzoniensis 768-20,root,cellular organisms,Archaea,TACK group,,Crenarchaeota <phylum>,,,Thermoprotei,,Thermoproteales,,,Thermoproteaceae,,Thermoproteus,Thermoproteus uzoniensis,Thermoproteus uzoniensis 768-20
190,Methanocaldococcus infernus,species_,Methanocaldococcus infernus ME,root,cellular organisms,Archaea,,,Euryarchaeota,Methanomada group,,Methanococci,,Methanococcales,,,Methanocaldococcaceae,,Methanocaldococcus,Methanocaldococcus infernus,Methanocaldococcus infernus ME
191,Methanocaldococcus,species,Methanocaldococcus bathoardescens,root,cellular organisms,Archaea,,,Euryarchaeota,Methanomada group,,Methanococci,,Methanococcales,,,Methanocaldococcaceae,,Methanocaldococcus,Methanocaldococcus bathoardescens,
192,Methanocaldococcus,species,Methanocaldococcus sp. FS406-22,root,cellular organisms,Archaea,,,Euryarchaeota,Methanomada group,,Methanococci,,Methanococcales,,,Methanocaldococcaceae,,Methanocaldococcus,Methanocaldococcus sp. FS406-22,
193,Methanocaldococcus jannaschii,species_,Methanocaldococcus jannaschii DSM 2661,root,cellular organisms,Archaea,,,Euryarchaeota,Methanomada group,,Methanococci,,Methanococcales,,,Methanocaldococcaceae,,Methanocaldococcus,Methanocaldococcus jannaschii,Methanocaldococcus jannaschii DSM 2661
194,Methanocaldococcus fervens,species_,Methanocaldococcus fervens AG86,root,cellular organisms,Archaea,,,Euryarchaeota,Methanomada group,,Methanococci,,Methanococcales,,,Methanocaldococcaceae,,Methanocaldococcus,Methanocaldococcus fervens,Methanocaldococcus fervens AG86
195,Methanocaldococcus vulcanius,species_,Methanocaldococcus vulcanius M7,root,cellular organisms,Archaea,,,Euryarchaeota,Methanomada group,,Methanococci,,Methanococcales,,,Methanocaldococcaceae,,Methanocaldococcus,Methanocaldococcus vulcanius,Methanocaldococcus vulcanius M7
201,Methanotorris igneus,species_,Methanotorris igneus Kol 5,root,cellular organisms,Archaea,,,Euryarchaeota,Methanomada group,,Methanococci,,Methanococcales,,,Methanocaldococcaceae,,Methanotorris,Methanotorris igneus,Methanotorris igneus Kol 5
202,Methanothermococcus okinawensis,species_,Methanothermococcus okinawensis IH1,root,cellular organisms,Archaea,,,Euryarchaeota,Methanomada group,,Methanococci,,Methanococcales,,,Methanococcaceae,,Methanothermococcus,Methanothermococcus okinawensis,Methanothermococcus okinawensis IH1
203,Methanococcus aeolicus,species_,Methanococcus aeolicus Nankai-3,root,cellular organisms,Archaea,,,Euryarchaeota,Methanomada group,,Methanococci,,Methanococcales,,,Methanococcaceae,,Methanococcus,Methanococcus aeolicus,Methanococcus aeolicus Nankai-3
205,Methanococcus voltae,species_,Methanococcus voltae A3,root,cellular organisms,Archaea,,,Euryarchaeota,Methanomada group,,Methanococci,,Methanococcales,,,Methanococcaceae,,Methanococcus,Methanococcus voltae,Methanococcus voltae A3
206,Methanococcus vannielii,species_,Methanococcus vannielii SB,root,cellular organisms,Archaea,,,Euryarchaeota,Methanomada group,,Methanococci,,Methanococcales,,,Methanococcaceae,,Methanococcus,Methanococcus vannielii,Methanococcus vannielii SB
207,Methanococcus,species,Methanococcus maripaludis,root,cellular organisms,Archaea,,,Euryarchaeota,Methanomada group,,Methanococci,,Methanococcales,,,Methanococcaceae,,Methanococcus,Methanococcus maripaludis,
208,Methanococcus maripaludis,species_,Methanococcus maripaludis S2,root,cellular organisms,Archaea,,,Euryarchaeota,Methanomada group,,Methanococci,,Methanococcales,,,Methanococcaceae,,Methanococcus,Methanococcus maripaludis,Methanococcus maripaludis S2
210,Methanococcus maripaludis,species_,Methanococcus maripaludis C7,root,cellular organisms,Archaea,,,Euryarchaeota,Methanomada group,,Methanococci,,Methanococcales,,,Methanococcaceae,,Methanococcus,Methanococcus maripaludis,Methanococcus maripaludis C7
211,Methanococcus maripaludis,species_,Methanococcus maripaludis C5,root,cellular organisms,Archaea,,,Euryarchaeota,Methanomada group,,Methanococci,,Methanococcales,,,Methanococcaceae,,Methanococcus,Methanococcus maripaludis,Methanococcus maripaludis C5
213,Methanococcus maripaludis,species_,Methanococcus maripaludis C6,root,cellular organisms,Archaea,,,Euryarchaeota,Methanomada group,,Methanococci,,Methanococcales,,,Methanococcaceae,,Methanococcus,Methanococcus maripaludis,Methanococcus maripaludis C6
221,Candidatus Methanomassiliicoccus intestinalis,species_,Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,root,cellular organisms,Archaea,,,Euryarchaeota,Diaforarchaea group,,Thermoplasmata,,Methanomassiliicoccales,,,Methanomassiliicoccaceae,,Methanomassiliicoccus,Candidatus Methanomassiliicoccus intestinalis,Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
222,Candidatus Methanoplasma,species,Candidatus Methanoplasma termitum,root,cellular organisms,Archaea,,,Euryarchaeota,Diaforarchaea group,,Thermoplasmata,,Methanomassiliicoccales,,,Methanomassiliicoccaceae,,Candidatus Methanoplasma,Candidatus Methanoplasma termitum,
223,unclassified Thermoplasmatales (miscellaneous),species,Thermoplasmatales archaeon BRNA1,root,cellular organisms,Archaea,,,Euryarchaeota,Diaforarchaea group,,Thermoplasmata,,Thermoplasmatales,unclassified Thermoplasmatales,unclassified Thermoplasmatales (miscellaneous),,,,Thermoplasmatales archaeon BRNA1,
224,unclassified Thermoplasmata,species,methanogenic archaeon ISO4-H5,root,cellular organisms,Archaea,,,Euryarchaeota,Diaforarchaea group,,Thermoplasmata,unclassified Thermoplasmata,,,,,,,methanogenic archaeon ISO4-H5,
225,Candidatus Methanomethylophilus alvus,species_,Candidatus Methanomethylophilus alvus Mx1201,root,cellular organisms,Archaea,,,Euryarchaeota,Diaforarchaea group,,Thermoplasmata,,Methanomassiliicoccales,,,Candidatus Methanomethylophilaceae,,Candidatus Methanomethylophilus,Candidatus Methanomethylophilus alvus,Candidatus Methanomethylophilus alvus Mx1201
230,Thermoplasma volcanium,species_,Thermoplasma volcanium GSS1,root,cellular organisms,Archaea,,,Euryarchaeota,Diaforarchaea group,,Thermoplasmata,,Thermoplasmatales,,,Thermoplasmataceae,,Thermoplasma,Thermoplasma volcanium,Thermoplasma volcanium GSS1
231,Thermoplasma acidophilum,species_,Thermoplasma acidophilum DSM 1728,root,cellular organisms,Archaea,,,Euryarchaeota,Diaforarchaea group,,Thermoplasmata,,Thermoplasmatales,,,Thermoplasmataceae,,Thermoplasma,Thermoplasma acidophilum,Thermoplasma acidophilum DSM 1728
233,Cuniculiplasma,species,Cuniculiplasma divulgatum,root,cellular organisms,Archaea,,,Euryarchaeota,Diaforarchaea group,,Thermoplasmata,,Thermoplasmatales,,,Cuniculiplasmataceae,,Cuniculiplasma,Cuniculiplasma divulgatum,
234,Picrophilus torridus,species_,Picrophilus torridus DSM 9790,root,cellular organisms,Archaea,,,Euryarchaeota,Diaforarchaea group,,Thermoplasmata,,Thermoplasmatales,,,Picrophilaceae,,Picrophilus,Picrophilus torridus,Picrophilus torridus DSM 9790
235,Ferroplasma acidarmanus,species_,Ferroplasma acidarmanus fer1,root,cellular organisms,Archaea,,,Euryarchaeota,Diaforarchaea group,,Thermoplasmata,,Thermoplasmatales,,,Ferroplasmaceae,,Ferroplasma,Ferroplasma acidarmanus,Ferroplasma acidarmanus fer1
236,Ferroplasma,species,Ferroplasma acidiphilum,root,cellular organisms,Archaea,,,Euryarchaeota,Diaforarchaea group,,Thermoplasmata,,Thermoplasmatales,,,Ferroplasmaceae,,Ferroplasma,Ferroplasma acidiphilum,
242,Aciduliprofundum,species,Aciduliprofundum sp. MAR08-339,root,cellular organisms,Archaea,,,Euryarchaeota,Diaforarchaea group,DHVE2 group,,,,,,,,Aciduliprofundum,Aciduliprofundum sp. MAR08-339,
243,Aciduliprofundum boonei,species_,Aciduliprofundum boonei T469,root,cellular organisms,Archaea,,,Euryarchaeota,Diaforarchaea group,DHVE2 group,,,,,,,,Aciduliprofundum,Aciduliprofundum boonei,Aciduliprofundum boonei T469
247,Archaeoglobus sulfaticallidus,species_,Archaeoglobus sulfaticallidus PM70-1,root,cellular organisms,Archaea,,,Euryarchaeota,,,Archaeoglobi,,Archaeoglobales,,,Archaeoglobaceae,,Archaeoglobus,Archaeoglobus sulfaticallidus,Archaeoglobus sulfaticallidus PM70-1
248,Geoglobus,species,Geoglobus ahangari,root,cellular organisms,Archaea,,,Euryarchaeota,,,Archaeoglobi,,Archaeoglobales,,,Archaeoglobaceae,,Geoglobus,Geoglobus ahangari,
249,Ferroglobus placidus,species_,Ferroglobus placidus DSM 10642,root,cellular organisms,Archaea,,,Euryarchaeota,,,Archaeoglobi,,Archaeoglobales,,,Archaeoglobaceae,,Ferroglobus,Ferroglobus placidus,Ferroglobus placidus DSM 10642
250,Archaeoglobus profundus,species_,Archaeoglobus profundus DSM 5631,root,cellular organisms,Archaea,,,Euryarchaeota,,,Archaeoglobi,,Archaeoglobales,,,Archaeoglobaceae,,Archaeoglobus,Archaeoglobus profundus,Archaeoglobus profundus DSM 5631
252,Geoglobus,species,Geoglobus acetivorans,root,cellular organisms,Archaea,,,Euryarchaeota,,,Archaeoglobi,,Archaeoglobales,,,Archaeoglobaceae,,Geoglobus,Geoglobus acetivorans,
255,Archaeoglobus fulgidus,species_,Archaeoglobus fulgidus DSM 8774,root,cellular organisms,Archaea,,,Euryarchaeota,,,Archaeoglobi,,Archaeoglobales,,,Archaeoglobaceae,,Archaeoglobus,Archaeoglobus fulgidus,Archaeoglobus fulgidus DSM 8774
256,Archaeoglobus fulgidus,species_,Archaeoglobus fulgidus DSM 4304,root,cellular organisms,Archaea,,,Euryarchaeota,,,Archaeoglobi,,Archaeoglobales,,,Archaeoglobaceae,,Archaeoglobus,Archaeoglobus fulgidus,Archaeoglobus fulgidus DSM 4304
259,Archaeoglobus veneficus,species_,Archaeoglobus veneficus SNP6,root,cellular organisms,Archaea,,,Euryarchaeota,,,Archaeoglobi,,Archaeoglobales,,,Archaeoglobaceae,,Archaeoglobus,Archaeoglobus veneficus,Archaeoglobus veneficus SNP6
262,Halanaeroarchaeum,species,Halanaeroarchaeum sulfurireducens,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Halobacteriales,,,Halobacteriaceae,,Halanaeroarchaeum,Halanaeroarchaeum sulfurireducens,
263,Halanaeroarchaeum,species,Halanaeroarchaeum sulfurireducens,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Halobacteriales,,,Halobacteriaceae,,Halanaeroarchaeum,Halanaeroarchaeum sulfurireducens,
265,Halodesulfurarchaeum,species,Halodesulfurarchaeum formicicum,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Halobacteriales,,,Halobacteriaceae,,Halodesulfurarchaeum,Halodesulfurarchaeum formicicum,
267,Halobacterium,species,Halobacterium hubeiense,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Halobacteriales,,,Halobacteriaceae,,Halobacterium,Halobacterium hubeiense,
268,Halobacterium salinarum,species_,Halobacterium salinarum NRC-1,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Halobacteriales,,,Halobacteriaceae,,Halobacterium,Halobacterium salinarum,Halobacterium salinarum NRC-1
269,Halobacterium,species,Halobacterium sp. DL1,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Halobacteriales,,,Halobacteriaceae,,Halobacterium,Halobacterium sp. DL1,
273,Natronomonas pharaonis,species_,Natronomonas pharaonis DSM 2160,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Halobacteriales,,,Haloarculaceae,,Natronomonas,Natronomonas pharaonis,Natronomonas pharaonis DSM 2160
274,Natronomonas moolapensis,species_,Natronomonas moolapensis 8.8.11,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Halobacteriales,,,Haloarculaceae,,Natronomonas,Natronomonas moolapensis,Natronomonas moolapensis 8.8.11
276,Salinarchaeum,species,Salinarchaeum sp. Harcht-Bsk1,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Natrialbales,,,Natrialbaceae,,Salinarchaeum,Salinarchaeum sp. Harcht-Bsk1,
277,Halopiger xanaduensis,species_,Halopiger xanaduensis SH-6,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Natrialbales,,,Natrialbaceae,,Halopiger,Halopiger xanaduensis,Halopiger xanaduensis SH-6
278,Natronobacterium gregoryi,species_,Natronobacterium gregoryi SP2,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Natrialbales,,,Natrialbaceae,,Natronobacterium,Natronobacterium gregoryi,Natronobacterium gregoryi SP2
279,Natronococcus occultus,species_,Natronococcus occultus SP4,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Natrialbales,,,Natrialbaceae,,Natronococcus,Natronococcus occultus,Natronococcus occultus SP4
281,Halobiforma lacisalsi,species_,Halobiforma lacisalsi AJ5,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Natrialbales,,,Natrialbaceae,,Halobiforma,Halobiforma lacisalsi,Halobiforma lacisalsi AJ5
284,Natrialba magadii,species_,Natrialba magadii ATCC 43099,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Natrialbales,,,Natrialbaceae,,Natrialba,Natrialba magadii,Natrialba magadii ATCC 43099
285,Haloterrigena,species,Haloterrigena daqingensis,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Natrialbales,,,Natrialbaceae,,Haloterrigena,Haloterrigena daqingensis,
286,Haloterrigena turkmenica,species_,Haloterrigena turkmenica DSM 5511,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Natrialbales,,,Natrialbaceae,,Haloterrigena,Haloterrigena turkmenica,Haloterrigena turkmenica DSM 5511
288,Natrinema,species,Natrinema sp. J7-2,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Natrialbales,,,Natrialbaceae,,Natrinema,Natrinema sp. J7-2,
289,Natrinema pellirubrum,species_,Natrinema pellirubrum DSM 15624,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Natrialbales,,,Natrialbaceae,,Natrinema,Natrinema pellirubrum,Natrinema pellirubrum DSM 15624
293,Natronolimnobius,species,Natronolimnobius sp. AArc1,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Natrialbales,,,Natrialbaceae,,Natronolimnobius,Natronolimnobius sp. AArc1,
294,Natronolimnobius,species,Natronolimnobius sp. AArc-Mg,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Natrialbales,,,Natrialbaceae,,Natronolimnobius,Natronolimnobius sp. AArc-Mg,
296,Natronolimnobius,species,Natronolimnobius aegyptiacus,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Natrialbales,,,Natrialbaceae,,Natronolimnobius,Natronolimnobius aegyptiacus,
298,Halostagnicola larsenii,species_,Halostagnicola larsenii XH-48,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Natrialbales,,,Natrialbaceae,,Halostagnicola,Halostagnicola larsenii,Halostagnicola larsenii XH-48
302,Halalkalicoccus jeotgali,species_,Halalkalicoccus jeotgali B3,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Halobacteriales,,,Halobacteriaceae,,Halalkalicoccus,Halalkalicoccus jeotgali,Halalkalicoccus jeotgali B3
305,unclassified Haloarculaceae,species,Haloarculaceae archaeon HArcel1,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Halobacteriales,,,Haloarculaceae,unclassified Haloarculaceae,,Haloarculaceae archaeon HArcel1,
306,Halorhabdus tiamatea,species_,Halorhabdus tiamatea SARL4B,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Halobacteriales,,,Haloarculaceae,,Halorhabdus,Halorhabdus tiamatea,Halorhabdus tiamatea SARL4B
307,Halorhabdus utahensis,species_,Halorhabdus utahensis DSM 12940,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Halobacteriales,,,Haloarculaceae,,Halorhabdus,Halorhabdus utahensis,Halorhabdus utahensis DSM 12940
310,Halorientalis,species,Halorientalis sp. IM1011,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Halobacteriales,,,Haloarculaceae,,Halorientalis,Halorientalis sp. IM1011,
312,Haloarcula,species,Haloarcula taiwanensis,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Halobacteriales,,,Haloarculaceae,,Haloarcula,Haloarcula taiwanensis,
313,Haloarcula hispanica,species_,Haloarcula hispanica ATCC 33960,root,cellular organisms,Archaea,,,Euryarchaeota,Stenosarchaea group,,Halobacteria,,Halobacteriales,,,Haloarculaceae,,Haloarcula,Haloarcula hispanica,Haloarcula hispanica ATCC 33960
