,parent_id,rank,tax_name,root,root_,superkingdom,superkingdom_,superkingdom__,superkingdom___,superkingdom____,kingdom,subkingdom,phylum,phylum_,phylum__,subphylum,subphylum_,subphylum__,subphylum___,subphylum____,subphylum_____,subphylum______,subphylum_______,subphylum________,subphylum_________,subphylum__________,subphylum___________,class,class_,subclass,subclass_,order,order_,suborder,superfamily,family,family_,subfamily,tribe,genus,genus_,subgenus,species,species_,species__,varietas,varietas_
258,Hemiselmidaceae,genus,Hemiselmis,root,cellular organisms,Eukaryota,,,,,,,Cryptophyta,,,,,,,,,,,,,,,,,,,Cryptomonadales,,,,Hemiselmidaceae,,,,Hemiselmis,,,,,,,
257,Hemiselmidaceae,genus,Hemiselmis,root,cellular organisms,Eukaryota,,,,,,,Cryptophyta,,,,,,,,,,,,,,,,,,,Cryptomonadales,,,,Hemiselmidaceae,,,,Hemiselmis,,,,,,,
256,Hemiselmidaceae,genus,Hemiselmis,root,cellular organisms,Eukaryota,,,,,,,Cryptophyta,,,,,,,,,,,,,,,,,,,Cryptomonadales,,,,Hemiselmidaceae,,,,Hemiselmis,,,,,,,
255,Hemiselmidaceae,genus,Hemiselmis,root,cellular organisms,Eukaryota,,,,,,,Cryptophyta,,,,,,,,,,,,,,,,,,,Cryptomonadales,,,,Hemiselmidaceae,,,,Hemiselmis,,,,,,,
263,Goniomonadaceae,genus,Goniomonas,root,cellular organisms,Eukaryota,,,,,,,Cryptophyta,,,,,,,,,,,,,,,,,,,Cryptomonadales,,,,Goniomonadaceae,,,,Goniomonas,,,,,,,
269,Eukaryota,class,Glaucocystophyceae,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,Glaucocystophyceae,,,,,,,,,,,,,,,,,,,
267,Eukaryota,class,Glaucocystophyceae,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,Glaucocystophyceae,,,,,,,,,,,,,,,,,,,
325,Eukaryota,class,Haptophyceae,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,Haptophyceae,,,,,,,,,,,,,,,,,,,
281,Eukaryota,class,Haptophyceae,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,Haptophyceae,,,,,,,,,,,,,,,,,,,
273,Eukaryota,class,Haptophyceae,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,Haptophyceae,,,,,,,,,,,,,,,,,,,
280,Haptophyceae,order,Pavlovales,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,Haptophyceae,,,,Pavlovales,,,,,,,,,,,,,,,
279,Haptophyceae,order,Pavlovales,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,Haptophyceae,,,,Pavlovales,,,,,,,,,,,,,,,
278,Haptophyceae,order,Pavlovales,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,Haptophyceae,,,,Pavlovales,,,,,,,,,,,,,,,
324,Eukaryota,class,Haptophyceae,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,Haptophyceae,,,,,,,,,,,,,,,,,,,
314,Eukaryota,class,Haptophyceae,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,Haptophyceae,,,,,,,,,,,,,,,,,,,
300,Eukaryota,class,Haptophyceae,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,Haptophyceae,,,,,,,,,,,,,,,,,,,
299,Eukaryota,class,Haptophyceae,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,Haptophyceae,,,,,,,,,,,,,,,,,,,
287,Eukaryota,class,Haptophyceae,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,Haptophyceae,,,,,,,,,,,,,,,,,,,
286,Haptophyceae,order,Coccolithales,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,Haptophyceae,,,,Coccolithales,,,,,,,,,,,,,,,
298,Haptophyceae,order,Isochrysidales,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,Haptophyceae,,,,Isochrysidales,,,,,,,,,,,,,,,
294,Haptophyceae,order,Isochrysidales,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,Haptophyceae,,,,Isochrysidales,,,,,,,,,,,,,,,
293,Isochrysidales,family,Noelaerhabdaceae,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,Haptophyceae,,,,Isochrysidales,,,,Noelaerhabdaceae,,,,,,,,,,,
292,Isochrysidales,family,Noelaerhabdaceae,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,Haptophyceae,,,,Isochrysidales,,,,Noelaerhabdaceae,,,,,,,,,,,
297,Isochrysidaceae,genus,Isochrysis,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,Haptophyceae,,,,Isochrysidales,,,,Isochrysidaceae,,,,Isochrysis,,,,,,,
313,Haptophyceae,order,Prymnesiales,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,Haptophyceae,,,,Prymnesiales,,,,,,,,,,,,,,,
303,Haptophyceae,order,Prymnesiales,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,Haptophyceae,,,,Prymnesiales,,,,,,,,,,,,,,,
312,Prymnesiales,family,Prymnesiaceae,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,Haptophyceae,,,,Prymnesiales,,,,Prymnesiaceae,,,,,,,,,,,
310,Prymnesiales,family,Prymnesiaceae,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,Haptophyceae,,,,Prymnesiales,,,,Prymnesiaceae,,,,,,,,,,,
309,Prymnesiaceae,genus,Prymnesium,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,Haptophyceae,,,,Prymnesiales,,,,Prymnesiaceae,,,,Prymnesium,,,,,,,
308,Prymnesiaceae,genus,Prymnesium,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,Haptophyceae,,,,Prymnesiales,,,,Prymnesiaceae,,,,Prymnesium,,,,,,,
323,Phaeocystaceae,genus,Phaeocystis,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,Haptophyceae,,,,Phaeocystales,,,,Phaeocystaceae,,,,Phaeocystis,,,,,,,
322,Phaeocystaceae,genus,Phaeocystis,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,Haptophyceae,,,,Phaeocystales,,,,Phaeocystaceae,,,,Phaeocystis,,,,,,,
321,Phaeocystaceae,genus,Phaeocystis,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,Haptophyceae,,,,Phaeocystales,,,,Phaeocystaceae,,,,Phaeocystis,,,,,,,
320,Phaeocystaceae,genus,Phaeocystis,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,Haptophyceae,,,,Phaeocystales,,,,Phaeocystaceae,,,,Phaeocystis,,,,,,,
356,cellular organisms,superkingdom,Eukaryota,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,Eukaryota,phylum,Rhodophyta,root,cellular organisms,Eukaryota,,,,,,,Rhodophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,Eukaryota,phylum,Rhodophyta,root,cellular organisms,Eukaryota,,,,,,,Rhodophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,Eukaryota,phylum,Rhodophyta,root,cellular organisms,Eukaryota,,,,,,,Rhodophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,Rhodophyta,class,Compsopogonophyceae,root,cellular organisms,Eukaryota,,,,,,,Rhodophyta,,,,,,,,,,,,,,,Compsopogonophyceae,,,,,,,,,,,,,,,,,,,
344,Eukaryota,phylum,Rhodophyta,root,cellular organisms,Eukaryota,,,,,,,Rhodophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,Porphyridiales,family,Porphyridiaceae,root,cellular organisms,Eukaryota,,,,,,,Rhodophyta,,,,,,,,,,,,,,,Bangiophyceae,,,,Porphyridiales,,,,Porphyridiaceae,,,,,,,,,,,
339,Porphyridiales,family,Porphyridiaceae,root,cellular organisms,Eukaryota,,,,,,,Rhodophyta,,,,,,,,,,,,,,,Bangiophyceae,,,,Porphyridiales,,,,Porphyridiaceae,,,,,,,,,,,
343,Porphyridiales,family,Porphyridiaceae,root,cellular organisms,Eukaryota,,,,,,,Rhodophyta,,,,,,,,,,,,,,,Bangiophyceae,,,,Porphyridiales,,,,Porphyridiaceae,,,,,,,,,,,
355,Eukaryota,phylum,Cryptophyta,root,cellular organisms,Eukaryota,,,,,,,Cryptophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,Cryptophyta,order,Cryptomonadales,root,cellular organisms,Eukaryota,,,,,,,Cryptophyta,,,,,,,,,,,,,,,,,,,Cryptomonadales,,,,,,,,,,,,,,,
349,Hemiselmidaceae,genus,Hemiselmis,root,cellular organisms,Eukaryota,,,,,,,Cryptophyta,,,,,,,,,,,,,,,,,,,Cryptomonadales,,,,Hemiselmidaceae,,,,Hemiselmis,,,,,,,
354,Pyrenomonadaceae,genus,Rhodomonas <Cryptophyta>,root,cellular organisms,Eukaryota,,,,,,,Cryptophyta,,,,,,,,,,,,,,,,,,,Pyrenomonadales,,,,Pyrenomonadaceae,,,,Rhodomonas <Cryptophyta>,,,,,,,
510,cellular organisms,superkingdom,Eukaryota,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,Eukaryota,superkingdom_,Alveolata,root,cellular organisms,Eukaryota,Alveolata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,Eukaryota,superkingdom_,Alveolata,root,cellular organisms,Eukaryota,Alveolata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,Eukaryota,superkingdom_,Alveolata,root,cellular organisms,Eukaryota,Alveolata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,Eukaryota,superkingdom_,Alveolata,root,cellular organisms,Eukaryota,Alveolata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,Alveolata,class,Dinophyceae,root,cellular organisms,Eukaryota,Alveolata,,,,,,,,,,,,,,,,,,,,,Dinophyceae,,,,,,,,,,,,,,,,,,,
387,Alveolata,class,Dinophyceae,root,cellular organisms,Eukaryota,Alveolata,,,,,,,,,,,,,,,,,,,,,Dinophyceae,,,,,,,,,,,,,,,,,,,
361,Alveolata,class,Dinophyceae,root,cellular organisms,Eukaryota,Alveolata,,,,,,,,,,,,,,,,,,,,,Dinophyceae,,,,,,,,,,,,,,,,,,,
386,Alveolata,class,Dinophyceae,root,cellular organisms,Eukaryota,Alveolata,,,,,,,,,,,,,,,,,,,,,Dinophyceae,,,,,,,,,,,,,,,,,,,
364,Alveolata,class,Dinophyceae,root,cellular organisms,Eukaryota,Alveolata,,,,,,,,,,,,,,,,,,,,,Dinophyceae,,,,,,,,,,,,,,,,,,,
385,Alveolata,class,Dinophyceae,root,cellular organisms,Eukaryota,Alveolata,,,,,,,,,,,,,,,,,,,,,Dinophyceae,,,,,,,,,,,,,,,,,,,
384,Alveolata,class,Dinophyceae,root,cellular organisms,Eukaryota,Alveolata,,,,,,,,,,,,,,,,,,,,,Dinophyceae,,,,,,,,,,,,,,,,,,,
382,Alveolata,class,Dinophyceae,root,cellular organisms,Eukaryota,Alveolata,,,,,,,,,,,,,,,,,,,,,Dinophyceae,,,,,,,,,,,,,,,,,,,
380,Alveolata,class,Dinophyceae,root,cellular organisms,Eukaryota,Alveolata,,,,,,,,,,,,,,,,,,,,,Dinophyceae,,,,,,,,,,,,,,,,,,,
368,Gonyaulacales,family,Goniodomataceae,root,cellular organisms,Eukaryota,Alveolata,,,,,,,,,,,,,,,,,,,,,Dinophyceae,,,,Gonyaulacales,,,,Goniodomataceae,,,,,,,,,,,
379,Alveolata,class,Dinophyceae,root,cellular organisms,Eukaryota,Alveolata,,,,,,,,,,,,,,,,,,,,,Dinophyceae,,,,,,,,,,,,,,,,,,,
378,Gonyaulacaceae,genus,Alexandrium,root,cellular organisms,Eukaryota,Alveolata,,,,,,,,,,,,,,,,,,,,,Dinophyceae,,,,Gonyaulacales,,,,Gonyaulacaceae,,,,Alexandrium,,,,,,,
377,Gonyaulacaceae,genus,Alexandrium,root,cellular organisms,Eukaryota,Alveolata,,,,,,,,,,,,,,,,,,,,,Dinophyceae,,,,Gonyaulacales,,,,Gonyaulacaceae,,,,Alexandrium,,,,,,,
373,Gonyaulacaceae,genus,Alexandrium,root,cellular organisms,Eukaryota,Alveolata,,,,,,,,,,,,,,,,,,,,,Dinophyceae,,,,Gonyaulacales,,,,Gonyaulacaceae,,,,Alexandrium,,,,,,,
376,Gonyaulacaceae,genus,Alexandrium,root,cellular organisms,Eukaryota,Alveolata,,,,,,,,,,,,,,,,,,,,,Dinophyceae,,,,Gonyaulacales,,,,Gonyaulacaceae,,,,Alexandrium,,,,,,,
436,Alveolata,class,Dinophyceae,root,cellular organisms,Eukaryota,Alveolata,,,,,,,,,,,,,,,,,,,,,Dinophyceae,,,,,,,,,,,,,,,,,,,
394,Alveolata,class,Dinophyceae,root,cellular organisms,Eukaryota,Alveolata,,,,,,,,,,,,,,,,,,,,,Dinophyceae,,,,,,,,,,,,,,,,,,,
390,Alveolata,class,Dinophyceae,root,cellular organisms,Eukaryota,Alveolata,,,,,,,,,,,,,,,,,,,,,Dinophyceae,,,,,,,,,,,,,,,,,,,
393,Alveolata,class,Dinophyceae,root,cellular organisms,Eukaryota,Alveolata,,,,,,,,,,,,,,,,,,,,,Dinophyceae,,,,,,,,,,,,,,,,,,,
435,Alveolata,class,Dinophyceae,root,cellular organisms,Eukaryota,Alveolata,,,,,,,,,,,,,,,,,,,,,Dinophyceae,,,,,,,,,,,,,,,,,,,
397,Prorocentraceae,genus,Prorocentrum,root,cellular organisms,Eukaryota,Alveolata,,,,,,,,,,,,,,,,,,,,,Dinophyceae,,,,Prorocentrales,,,,Prorocentraceae,,,,Prorocentrum,,,,,,,
434,Alveolata,class,Dinophyceae,root,cellular organisms,Eukaryota,Alveolata,,,,,,,,,,,,,,,,,,,,,Dinophyceae,,,,,,,,,,,,,,,,,,,
424,Alveolata,class,Dinophyceae,root,cellular organisms,Eukaryota,Alveolata,,,,,,,,,,,,,,,,,,,,,Dinophyceae,,,,,,,,,,,,,,,,,,,
422,Alveolata,class,Dinophyceae,root,cellular organisms,Eukaryota,Alveolata,,,,,,,,,,,,,,,,,,,,,Dinophyceae,,,,,,,,,,,,,,,,,,,
418,Alveolata,class,Dinophyceae,root,cellular organisms,Eukaryota,Alveolata,,,,,,,,,,,,,,,,,,,,,Dinophyceae,,,,,,,,,,,,,,,,,,,
416,Dinophyceae,order,Suessiales,root,cellular organisms,Eukaryota,Alveolata,,,,,,,,,,,,,,,,,,,,,Dinophyceae,,,,Suessiales,,,,,,,,,,,,,,,
400,Dinophyceae,order,Suessiales,root,cellular organisms,Eukaryota,Alveolata,,,,,,,,,,,,,,,,,,,,,Dinophyceae,,,,Suessiales,,,,,,,,,,,,,,,
415,Dinophyceae,order,Suessiales,root,cellular organisms,Eukaryota,Alveolata,,,,,,,,,,,,,,,,,,,,,Dinophyceae,,,,Suessiales,,,,,,,,,,,,,,,
413,Symbiodiniaceae,genus,Symbiodinium,root,cellular organisms,Eukaryota,Alveolata,,,,,,,,,,,,,,,,,,,,,Dinophyceae,,,,Suessiales,,,,Symbiodiniaceae,,,,Symbiodinium,,,,,,,
409,Symbiodiniaceae,genus,Symbiodinium,root,cellular organisms,Eukaryota,Alveolata,,,,,,,,,,,,,,,,,,,,,Dinophyceae,,,,Suessiales,,,,Symbiodiniaceae,,,,Symbiodinium,,,,,,,
408,Symbiodiniaceae,genus,Symbiodinium,root,cellular organisms,Eukaryota,Alveolata,,,,,,,,,,,,,,,,,,,,,Dinophyceae,,,,Suessiales,,,,Symbiodiniaceae,,,,Symbiodinium,,,,,,,
406,Symbiodiniaceae,genus,Symbiodinium,root,cellular organisms,Eukaryota,Alveolata,,,,,,,,,,,,,,,,,,,,,Dinophyceae,,,,Suessiales,,,,Symbiodiniaceae,,,,Symbiodinium,,,,,,,
404,Symbiodinium sp. clades,species,Symbiodinium sp. clade C,root,cellular organisms,Eukaryota,Alveolata,,,,,,,,,,,,,,,,,,,,,Dinophyceae,,,,Suessiales,,,,Symbiodiniaceae,,,,Symbiodinium,Symbiodinium sp. clades,,Symbiodinium sp. clade C,,,,
412,Symbiodiniaceae,genus,Symbiodinium,root,cellular organisms,Eukaryota,Alveolata,,,,,,,,,,,,,,,,,,,,,Dinophyceae,,,,Suessiales,,,,Symbiodiniaceae,,,,Symbiodinium,,,,,,,
421,Heterocapsaceae,genus,Heterocapsa,root,cellular organisms,Eukaryota,Alveolata,,,,,,,,,,,,,,,,,,,,,Dinophyceae,,,,Peridiniales,,,,Heterocapsaceae,,,,Heterocapsa,,,,,,,
433,Thoracosphaerales,family,Thoracosphaeraceae,root,cellular organisms,Eukaryota,Alveolata,,,,,,,,,,,,,,,,,,,,,Dinophyceae,,,,Thoracosphaerales,,,,Thoracosphaeraceae,,,,,,,,,,,
432,Thoracosphaerales,family,Thoracosphaeraceae,root,cellular organisms,Eukaryota,Alveolata,,,,,,,,,,,,,,,,,,,,,Dinophyceae,,,,Thoracosphaerales,,,,Thoracosphaeraceae,,,,,,,,,,,
430,Thoracosphaerales,family,Thoracosphaeraceae,root,cellular organisms,Eukaryota,Alveolata,,,,,,,,,,,,,,,,,,,,,Dinophyceae,,,,Thoracosphaerales,,,,Thoracosphaeraceae,,,,,,,,,,,
428,Thoracosphaerales,family,Thoracosphaeraceae,root,cellular organisms,Eukaryota,Alveolata,,,,,,,,,,,,,,,,,,,,,Dinophyceae,,,,Thoracosphaerales,,,,Thoracosphaeraceae,,,,,,,,,,,
446,Eukaryota,superkingdom_,Alveolata,root,cellular organisms,Eukaryota,Alveolata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,Eukaryota,superkingdom_,Alveolata,root,cellular organisms,Eukaryota,Alveolata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,Eukaryota,superkingdom_,Alveolata,root,cellular organisms,Eukaryota,Alveolata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,Dinophyceae,order,Gonyaulacales,root,cellular organisms,Eukaryota,Alveolata,,,,,,,,,,,,,,,,,,,,,Dinophyceae,,,,Gonyaulacales,,,,,,,,,,,,,,,
450,Alveolata,class,Dinophyceae,root,cellular organisms,Eukaryota,Alveolata,,,,,,,,,,,,,,,,,,,,,Dinophyceae,,,,,,,,,,,,,,,,,,,
455,Alveolata,phylum,Chromerida,root,cellular organisms,Eukaryota,Alveolata,,,,,,Chromerida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509,cellular organisms,superkingdom,Eukaryota,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,cellular organisms,superkingdom,Eukaryota,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,cellular organisms,superkingdom,Eukaryota,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498,cellular organisms,superkingdom,Eukaryota,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,Alveolata,superkingdom__,Ciliophora,root,cellular organisms,Eukaryota,Alveolata,Ciliophora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,Ciliophora,subphylum,Intramacronucleata,root,cellular organisms,Eukaryota,Alveolata,Ciliophora,,,,,,,,Intramacronucleata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,Alveolata,superkingdom__,Ciliophora,root,cellular organisms,Eukaryota,Alveolata,Ciliophora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,Scuticociliatia,order,Philasterida,root,cellular organisms,Eukaryota,Alveolata,Ciliophora,,,,,,,,Intramacronucleata,,,,,,,,,,,,Oligohymenophorea,,Scuticociliatia,,Philasterida,,,,,,,,,,,,,,,
466,Alveolata,superkingdom__,Ciliophora,root,cellular organisms,Eukaryota,Alveolata,Ciliophora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
497,cellular organisms,superkingdom,Eukaryota,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
487,cellular organisms,superkingdom,Eukaryota,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481,cellular organisms,superkingdom,Eukaryota,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,cellular organisms,superkingdom,Eukaryota,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,Intramacronucleata,class,Spirotrichea,root,cellular organisms,Eukaryota,Alveolata,Ciliophora,,,,,,,,Intramacronucleata,,,,,,,,,,,,Spirotrichea,,,,,,,,,,,,,,,,,,,
476,Spirotrichea,subclass,Choreotrichia,root,cellular organisms,Eukaryota,Alveolata,Ciliophora,,,,,,,,Intramacronucleata,,,,,,,,,,,,Spirotrichea,,Choreotrichia,,,,,,,,,,,,,,,,,
475,Strombidinopsidae,genus,Strombidinopsis,root,cellular organisms,Eukaryota,Alveolata,Ciliophora,,,,,,,,Intramacronucleata,,,,,,,,,,,,Spirotrichea,,Choreotrichia,,Choreotrichida,,,,Strombidinopsidae,,,,Strombidinopsis,,,,,,,
479,Strombidiidae,genus,Strombidium,root,cellular organisms,Eukaryota,Alveolata,Ciliophora,,,,,,,,Intramacronucleata,,,,,,,,,,,,Spirotrichea,,Oligotrichia,,,,,,Strombidiidae,,,,Strombidium,,,,,,,
486,Euplotida,family,Euplotidae,root,cellular organisms,Eukaryota,Alveolata,Ciliophora,,,,,,,,Intramacronucleata,,,,,,,,,,,,Spirotrichea,,Hypotrichia,,Euplotida,,,,Euplotidae,,,,,,,,,,,
485,Euplotida,family,Euplotidae,root,cellular organisms,Eukaryota,Alveolata,Ciliophora,,,,,,,,Intramacronucleata,,,,,,,,,,,,Spirotrichea,,Hypotrichia,,Euplotida,,,,Euplotidae,,,,,,,,,,,
496,cellular organisms,superkingdom,Eukaryota,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494,Rhizaria,superkingdom__,Foraminifera,root,cellular organisms,Eukaryota,Rhizaria,Foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493,Foraminifera,order,Rotaliida,root,cellular organisms,Eukaryota,Rhizaria,Foraminifera,,,,,,,,,,,,,,,,,,,,,,,,Rotaliida,,,,,,,,,,,,,,,
491,Foraminifera,order,Rotaliida,root,cellular organisms,Eukaryota,Rhizaria,Foraminifera,,,,,,,,,,,,,,,,,,,,,,,,Rotaliida,,,,,,,,,,,,,,,
504,Heterotrichea,order,Heterotrichida,root,cellular organisms,Eukaryota,Alveolata,Ciliophora,,,,,,,,Postciliodesmatophora,,,,,,,,,,,,Heterotrichea,,,,Heterotrichida,,,,,,,,,,,,,,,
503,Heterotrichea,order,Heterotrichida,root,cellular organisms,Eukaryota,Alveolata,Ciliophora,,,,,,,,Postciliodesmatophora,,,,,,,,,,,,Heterotrichea,,,,Heterotrichida,,,,,,,,,,,,,,,
508,Cyclotrichida,family,Mesodiniidae,root,cellular organisms,Eukaryota,Alveolata,Ciliophora,,,,,,,,Intramacronucleata,,,,,,,,,,,,Litostomatea,,Haptoria,,Cyclotrichida,,,,Mesodiniidae,,,,,,,,,,,
524,cellular organisms,superkingdom,Eukaryota,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514,Thraustochytriaceae,genus,Aplanochytrium,root,cellular organisms,Eukaryota,Stramenopiles,,,,,,,,,,,,,,,,,,,,,Labyrinthulomycetes,,,,,,,,Thraustochytriaceae,,,,Aplanochytrium,,,,,,,
523,cellular organisms,superkingdom,Eukaryota,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
517,cellular organisms,superkingdom,Eukaryota,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
522,cellular organisms,superkingdom,Eukaryota,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,Labyrinthulomycetes,family,Thraustochytriaceae,root,cellular organisms,Eukaryota,Stramenopiles,,,,,,,,,,,,,,,,,,,,,Labyrinthulomycetes,,,,,,,,Thraustochytriaceae,,,,,,,,,,,
695,Eukaryota,superkingdom_,Stramenopiles,root,cellular organisms,Eukaryota,Stramenopiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
687,Stramenopiles,phylum,Bacillariophyta,root,cellular organisms,Eukaryota,Stramenopiles,,,,,,Bacillariophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
675,Stramenopiles,phylum,Bacillariophyta,root,cellular organisms,Eukaryota,Stramenopiles,,,,,,Bacillariophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665,Stramenopiles,phylum,Bacillariophyta,root,cellular organisms,Eukaryota,Stramenopiles,,,,,,Bacillariophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
585,Stramenopiles,phylum,Bacillariophyta,root,cellular organisms,Eukaryota,Stramenopiles,,,,,,Bacillariophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
584,Stramenopiles,phylum,Bacillariophyta,root,cellular organisms,Eukaryota,Stramenopiles,,,,,,Bacillariophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
583,Stramenopiles,phylum,Bacillariophyta,root,cellular organisms,Eukaryota,Stramenopiles,,,,,,Bacillariophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582,Stramenopiles,phylum,Bacillariophyta,root,cellular organisms,Eukaryota,Stramenopiles,,,,,,Bacillariophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
564,Stramenopiles,phylum,Bacillariophyta,root,cellular organisms,Eukaryota,Stramenopiles,,,,,,Bacillariophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,Stramenopiles,phylum,Bacillariophyta,root,cellular organisms,Eukaryota,Stramenopiles,,,,,,Bacillariophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
532,Stramenopiles,phylum,Bacillariophyta,root,cellular organisms,Eukaryota,Stramenopiles,,,,,,Bacillariophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563,Bacillariophyceae,class_,Bacillariophycidae,root,cellular organisms,Eukaryota,Stramenopiles,,,,,,Bacillariophyta,,,,,,,,,,,,,,,Bacillariophyceae,Bacillariophycidae,,,,,,,,,,,,,,,,,,
