,n16S,nge,ncds,genome_size,GC,phi,clade_size,npaths_terminal,nec_terminal,branch_length
147,0.0,0.0,0.0,0.0,0.0,0.0,9.0,223.33333333333334,4814.111111111111,1e-06
148,0.0,0.0,0.0,0.0,0.0,0.0,28.0,205.57142857142858,3550.714285714286,0.00687682
149,0.0,0.0,0.0,0.0,0.0,0.0,39.0,195.35897435897436,3307.4102564102564,0.0192491
152,0.0,0.0,0.0,0.0,0.0,0.0,2.0,274.0,7033.5,0.0698974
153,0.0,0.0,0.0,0.0,0.0,0.0,41.0,199.1951219512195,3489.170731707317,0.0435064
155,0.0,0.0,0.0,0.0,0.0,0.0,42.0,200.64285714285714,3481.309523809524,0.0177078
157,0.0,0.0,0.0,0.0,0.0,0.0,43.0,198.2093023255814,3418.279069767442,0.0468907
159,0.0,0.0,0.0,0.0,0.0,0.0,44.0,194.9090909090909,3346.159090909091,0.10279
162,0.0,0.0,0.0,0.0,0.0,0.0,2.0,193.0,2471.0,2.01568
165,0.0,0.0,0.0,0.0,0.0,0.0,2.0,82.0,826.0,0.349786
169,0.0,0.0,0.0,0.0,0.0,0.0,2.0,144.5,3173.0,0.0663257
173,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.5,24.5,0.172067
174,0.0,0.0,0.0,0.0,0.0,0.0,3.0,101.66666666666667,1762.6666666666667,0.0867681
175,0.0,0.0,0.0,0.0,0.0,0.0,5.0,118.8,2326.8,0.0908482
178,0.0,0.0,0.0,0.0,0.0,0.0,2.0,116.5,1073.5,0.0641324
182,0.0,0.0,0.0,0.0,0.0,0.0,2.0,170.0,2212.5,0.048863
183,0.0,0.0,0.0,0.0,0.0,0.0,3.0,149.66666666666666,1823.3333333333333,0.0522243
184,0.0,0.0,0.0,0.0,0.0,0.0,5.0,136.4,1523.4,0.0529776
187,0.0,0.0,0.0,0.0,0.0,0.0,2.0,117.5,1100.5,0.0685931
188,0.0,0.0,0.0,0.0,0.0,0.0,7.0,131.0,1402.5714285714287,0.0849275
191,0.0,0.0,0.0,0.0,0.0,0.0,2.0,103.5,1415.5,0.575466
192,0.0,0.0,0.0,0.0,0.0,0.0,9.0,124.88888888888889,1405.4444444444443,0.0834329
195,0.0,0.0,0.0,0.0,0.0,0.0,2.0,160.5,1328.0,0.327628
197,0.0,0.0,0.0,0.0,0.0,0.0,3.0,175.33333333333334,1416.3333333333333,0.506605
199,0.0,0.0,0.0,0.0,0.0,0.0,4.0,176.25,1714.0,3.23707
201,0.0,0.0,0.0,0.0,0.0,0.0,5.0,167.4,1620.8,0.298022
202,0.0,0.0,0.0,0.0,0.0,0.0,14.0,140.07142857142858,1482.357142857143,0.0193945
203,0.0,0.0,0.0,0.0,0.0,0.0,19.0,134.47368421052633,1704.578947368421,0.0399702
204,0.0,0.0,0.0,0.0,0.0,0.0,20.0,135.9,1834.15,0.0527782
205,0.0,0.0,0.0,0.0,0.0,0.0,22.0,131.0,1742.5,0.0813422
206,0.0,0.0,0.0,0.0,0.0,0.0,24.0,136.16666666666666,1803.2083333333333,0.0799454
207,0.0,0.0,0.0,0.0,0.0,0.0,68.0,174.1764705882353,2801.5882352941176,0.0578142
210,0.0,0.0,0.0,0.0,0.0,0.0,2.0,199.5,1582.0,0.0930419
214,0.0,0.0,0.0,0.0,0.0,0.0,2.0,238.0,2785.0,0.0948315
217,0.0,0.0,0.0,0.0,0.0,0.0,2.0,217.0,2142.0,0.0531516
218,0.0,0.0,0.0,0.0,0.0,0.0,4.0,227.5,2463.5,0.380457
221,0.0,0.0,0.0,0.0,0.0,0.0,2.0,176.5,1078.0,0.345662
223,0.0,0.0,0.0,0.0,0.0,0.0,3.0,206.0,1655.0,0.0367968
224,0.0,0.0,0.0,0.0,0.0,0.0,7.0,218.28571428571428,2117.0,1e-06
226,0.0,0.0,0.0,0.0,0.0,0.0,8.0,214.5,2009.25,0.0307848
227,0.0,0.0,0.0,0.0,0.0,0.0,9.0,214.22222222222223,1999.111111111111,0.0936561
228,0.0,0.0,0.0,0.0,0.0,0.0,11.0,211.54545454545453,1923.2727272727273,0.0102128
232,0.0,0.0,0.0,0.0,0.0,0.0,2.0,184.5,2509.5,0.00299704
233,0.0,0.0,0.0,0.0,0.0,0.0,3.0,180.66666666666666,2071.6666666666665,0.0137559
235,0.0,0.0,0.0,0.0,0.0,0.0,4.0,182.25,1848.5,0.053993
238,0.0,0.0,0.0,0.0,0.0,0.0,2.0,226.5,2380.0,0.0308705
242,0.0,0.0,0.0,0.0,0.0,0.0,2.0,242.0,2641.5,1e-06
243,0.0,0.0,0.0,0.0,0.0,0.0,3.0,226.33333333333334,2173.3333333333335,0.0167301
244,0.0,0.0,0.0,0.0,0.0,0.0,5.0,226.4,2256.0,0.0393126
246,0.0,0.0,0.0,0.0,0.0,0.0,6.0,229.0,2205.3333333333335,0.0163107
250,0.0,0.0,0.0,0.0,0.0,0.0,2.0,200.0,2058.5,0.0130749
252,0.0,0.0,0.0,0.0,0.0,0.0,3.0,207.0,2267.3333333333335,0.0129665
253,0.0,0.0,0.0,0.0,0.0,0.0,4.0,214.75,2371.5,0.014381
255,0.0,0.0,0.0,0.0,0.0,0.0,5.0,220.6,2275.8,0.0116067
257,0.0,0.0,0.0,0.0,0.0,0.0,6.0,225.66666666666666,2344.1666666666665,0.00981245
258,0.0,0.0,0.0,0.0,0.0,0.0,12.0,227.33333333333334,2274.75,0.0310342
259,0.0,0.0,0.0,0.0,0.0,0.0,16.0,216.0625,2168.1875,0.125849
265,0.0,0.0,0.0,0.0,0.0,0.0,2.0,211.5,2055.0,0.0360933
267,0.0,0.0,0.0,0.0,0.0,0.0,3.0,198.33333333333334,1786.3333333333333,0.0158463
268,0.0,0.0,0.0,0.0,0.0,0.0,4.0,193.75,1667.5,0.0329433
269,0.0,0.0,0.0,0.0,0.0,0.0,5.0,200.8,1661.8,0.00748684
270,0.0,0.0,0.0,0.0,0.0,0.0,6.0,197.66666666666666,1583.6666666666667,0.106298
271,0.0,0.0,0.0,0.0,0.0,0.0,22.0,211.04545454545453,2008.7727272727273,0.12762
274,0.0,0.0,0.0,0.0,0.0,0.0,2.0,233.5,2084.5,0.120756
279,0.0,0.0,0.0,0.0,0.0,0.0,2.0,188.0,1544.0,1.16383
280,0.0,0.0,0.0,0.0,0.0,0.0,3.0,193.0,1918.6666666666667,0.348244
281,0.0,0.0,0.0,0.0,0.0,0.0,4.0,188.5,1853.5,0.730339
283,0.0,0.0,0.0,0.0,0.0,0.0,5.0,199.0,2250.6,0.375379
287,0.0,0.0,0.0,0.0,0.0,0.0,2.0,137.5,1617.0,0.127177
288,0.0,0.0,0.0,0.0,0.0,0.0,3.0,164.33333333333334,1646.3333333333333,0.0785786
291,0.0,0.0,0.0,0.0,0.0,0.0,2.0,181.5,1829.5,0.145214
293,0.0,0.0,0.0,0.0,0.0,0.0,3.0,193.33333333333334,1913.3333333333333,0.0782015
294,0.0,0.0,0.0,0.0,0.0,0.0,6.0,178.83333333333334,1779.8333333333333,0.0412039
295,0.0,0.0,0.0,0.0,0.0,0.0,11.0,188.0,1993.8181818181818,0.0389211
