taxo_id,kingdom,supergroup,division,class,order,family,genus,species,taxo_id
48840,Eukaryota,Alveolata,Ciliophora,Spirotrichea,Tintinnida,Favellidae,Favella,Favella_panamensis,48840
46932,Eukaryota,Stramenopiles,Ochrophyta,Chrysophyceae,Chrysophyceae_X,Chrysophyceae_Clade-C,Spumella,Spumella_sp.,46932
990,Eukaryota,Alveolata,Ciliophora,Oligohymenophorea,Peritrichia_2,Zoothamniidae,Zoothamnium_2,Zoothamnium_alternans,990
1725,Eukaryota,Alveolata,Ciliophora,Spirotrichea,Spirotrichea_X,Pseudoamphisiellidae,Leptoamphisiella,Leptoamphisiella_vermis,1725
2935,Eukaryota,Amoebozoa,Lobosa,Tubulinea,Echinamoebida,Vermamoebidae,Hartmannella,Hartmannella_vermiformis,2935
4819,Eukaryota,Archaeplastida,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Polysiphonia,Polysiphonia_sp.,4819
2050,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Polykrikos,Polykrikos_schwartzii,2050
50379,Eukaryota,Alveolata,Apicomplexa,Coccidiomorphea,Eimeriida,Eimeriidae,Eimeria1,Eimeria1_brunetti,50379
1966,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Gymnodiniales,Kareniaceae,Karenia,Karenia_brevis,1966
49016,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Peridiniales,Heterocapsaceae,Heterocapsa,Heterocapsa_niei,49016
2400,Eukaryota,Alveolata,Perkinsea,Perkinsida,Perkinsida_X,Perkinsida_XX,Perkinsus,Perkinsus_marinus,2400
2335,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-3,Dino-Group-II-Clade-3_X,Dino-Group-II-Clade-3_X_sp.,2335
580,Eukaryota,Alveolata,Ciliophora,Colpodea,Colpodea_X,Platyophryida,Ottowphyra,Ottowphyra_dragescoi,580
1218,Eukaryota,Alveolata,Ciliophora,Phyllopharyngea,Cyrtophoria_6,Plesiotrichopidae,Trochochilodon,Trochochilodon_flavus,1218
1823,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Gonyaulacales,Ceratiaceae,Ceratium,Ceratium_furcoides,1823
4065,Eukaryota,Archaeplastida,Rhodophyta,Florideophyceae,Batrachospermales,Batrachospermales_X,Lemanea,Lemanea_fluviatilis,4065
48786,Eukaryota,Alveolata,Ciliophora,Spirotrichea,Strombidiida,Tontoniidae_B,Pseudotontonia,Pseudotontonia_simplicidens,48786
2401,Eukaryota,Alveolata,Perkinsea,Perkinsida,Perkinsida_X,Perkinsida_XX,Perkinsus,Perkinsus_mediterraneus,2401
1484,Eukaryota,Alveolata,Ciliophora,Spirotrichea,Euplotia,Euplotidae,Euplotes,Euplotes_woodruffi,1484
1240,Eukaryota,Alveolata,Ciliophora,Phyllopharyngea,Synhymenia,Orthodonellidae,Zosterodasys,Zosterodasys_agamalievi,1240
47870,Eukaryota,Stramenopiles,Opalozoa,Opalinata,Opalinata_X,Blastocystis-Group,Blastocystis,Blastocystis_sp.,47870
1758,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Gonyaulacales,Goniodomataceae,Alexandrium,Alexandrium_tamarense,1758
48647,Eukaryota,Stramenopiles,Ochrophyta,Bolidophyceae,Parmales,Parmales_env_1,Parmales_env_1_X,Parmales_env_1_X_sp.,48647
221,Eukaryota,Alveolata,Apicomplexa,Coccidiomorphea,Eimeriida,Sarcocystidae,Toxoplasma1,Neospora_sp.,221
1592,Eukaryota,Alveolata,Ciliophora,Spirotrichea,Hypotrichia,Oxytrichidae,Oxytricha,Oxytricha_longigranulosa,1592
1628,Eukaryota,Alveolata,Ciliophora,Spirotrichea,Hypotrichia,Pseudokeronopsidae,Apokeronopsis,Apokeronopsis_crassa,1628
2769,Eukaryota,Amoebozoa,Conosa,Variosea,Variosea_X,Soliformoviids,Soliformovum,Soliformovum_irregulare,2769
47107,Eukaryota,Stramenopiles,Ochrophyta,Synurophyceae,Synurales,Synurales_X,Synurales_XX,Synurales_XX_sp.,47107
45971,Eukaryota,Rhizaria,Radiolaria,Polycystinea,Spumellarida,Spongodiscidae-Coccodiscidae,Didymocyrtis,Didymocyrtis_tetrathalamus,45971
2012,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Peridiniales,Thoracosphaeraceae,Pentapharsodinium,Pentapharsodinium_tyrrhenicum,2012
1979,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Lepidodinium,Lepidodinium_viride,1979
8816,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Tropidia,Tropidia_sp.,8816
2071,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,Prorocentrum_micans,2071
46994,Eukaryota,Stramenopiles,Ochrophyta,Chrysophyceae,Chrysophyceae_X,Chrysophyceae_Clade-C,Poterioochromonas,Poterioochromonas_stipitata,46994
5229,Eukaryota,Archaeplastida,Rhodophyta,Florideophyceae,Gracilariales,Gracilariales_X,Gracilariopsis,Gracilariopsis_lemaneiformis,5229
4991,Eukaryota,Archaeplastida,Rhodophyta,Florideophyceae,Florideophyceae_X,Calosiphoniaceae,Schmitzia,Schmitzia_sp.,4991
48648,Eukaryota,Stramenopiles,Ochrophyta,Bolidophyceae,Parmales,Parmales_env_2,Parmales_env_2_X,Parmales_env_2_X_sp.,48648
2340,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-30,Dino-Group-II-Clade-30_X,Dino-Group-II-Clade-30_X_sp.,2340
1544,Eukaryota,Alveolata,Ciliophora,Spirotrichea,Hypotrichia,Hypotrichia_X,Hypotrichia_XX,Hypotrichia_XX_sp.,1544
48662,Eukaryota,Hacrobia,Picozoa,Picozoa_X,Picozoa_XX,Picozoa_XXX,Picozoa_XXXX,Picozoa_XXXX_sp.,48662
1790,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Apicoporus,Apicoporus_parvidiaboli,1790
925,Eukaryota,Alveolata,Ciliophora,Oligohymenophorea,Oligohymenophorea_X,Oligohymenophorea_XX,Oligohymenophorea_XXX,Oligohymenophorea_XXX_sp.,925
49245,Eukaryota,Alveolata,Ciliophora,Nassophorea,Nassophorea_X,Microthoracida,Microthoracida_X,Microthoracida_X_sp.,49245
4438,Eukaryota,Archaeplastida,Rhodophyta,Bangiophyceae,Bangiales,Bangiaceae,Bangia,Bangia_sp.,4438
2244,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-1,Dino-Group-I-Clade-1_X,Dino-Group-I-Clade-1_X_sp.,2244
45383,Eukaryota,Rhizaria,Cercozoa,Filosa-Sarcomonadea,Glissomonadida,Sandonidae,Neoheteromita,Neoheteromita_sp.,45383
49027,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniales_X,Levanderina,Levanderina_fissa,49027
1619,Eukaryota,Alveolata,Ciliophora,Spirotrichea,Hypotrichia,Oxytrichidae,Stylonychia,Stylonychia_mytilus,1619
1737,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Akashiwo,Akashiwo_sanguinea,1737
1839,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Gonyaulacales,Goniodomataceae,Coolia,Coolia_monotis,1839
47681,Eukaryota,Stramenopiles,Pseudofungi,Oomycota,Oomycota_X,Peronosporales,Halophytophthora,Halophytophthora_porrigovesica,47681
1535,Eukaryota,Alveolata,Ciliophora,Spirotrichea,Hypotrichia,Holostichidae,Metaurostylopsis,Metaurostylopsis_struederkypkeae,1535
46113,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Araphid-pennate,Pseudostaurosiropsis,Pseudostaurosiropsis_sp.,46113
47182,Eukaryota,Stramenopiles,Ochrophyta,Ochrophyta_X,Ochrophyta_XX,Ochrophyta_XXX,Ochrophyta_XXXX,Ochrophyta_XXXX_sp.,47182
1172,Eukaryota,Alveolata,Ciliophora,Oligohymenophorea,Hymenostomatia,Tetrahymenida,Tetrahymena,Tetrahymena_tropicalis,1172
45382,Eukaryota,Rhizaria,Cercozoa,Filosa-Sarcomonadea,Glissomonadida,Sandonidae,Neoheteromita,Neoheteromita_globosa,45382
47687,Eukaryota,Stramenopiles,Pseudofungi,Oomycota,Oomycota_X,Peronosporales,Lagenidium,Lagenidium_giganteum,47687
1483,Eukaryota,Alveolata,Ciliophora,Spirotrichea,Euplotia,Euplotidae,Euplotes,Euplotes_vannus,1483
47507,Eukaryota,Stramenopiles,Sagenista,Labyrinthulomycetes,Thraustochytriales,Thraustochytriaceae,Thraustochytrium,Thraustochytrium_sp.,47507
48790,Eukaryota,Alveolata,Ciliophora,Spirotrichea,Strombidiida_B,Strombidiida_B_X,Strombidiida_B_XX,Strombidiida_B_XX_sp.,48790
4893,Eukaryota,Archaeplastida,Rhodophyta,Florideophyceae,Corallinales,Corallinales_X,Bossiella,Bossiella_orbigniana,4893
50538,Eukaryota,Alveolata,Apicomplexa,Coccidiomorphea,Adeleida,Hepatozoidae,Hepatozoon9,Hepatozoon9_sp.,50538
1743,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Gonyaulacales,Goniodomataceae,Alexandrium,Alexandrium_fraterculus,1743
